entityRef,entityRefName,entityID,entityRefType
http://www.reactome.org/biopax/96/9609507#ProteinReference52,UniProt:Q86WU2 LDHD,Q86WU2,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference52,LDHD,Q86WU2,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference6,ACO2,Q99798,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference6,UniProt:Q99798 ACO2,Q99798,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference89,SLC27A2,O14975,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference89,ACSVL1,O14975,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference89,FACVL1,O14975,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference89,UniProt:O14975 SLC27A2,O14975,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference89,FATP2,O14975,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference89,VLACS,O14975,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference49,UniProt:Q13505 MTX1,Q13505,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference49,MTX1,Q13505,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference49,MTX,Q13505,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference49,MTXN,Q13505,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference92,UniProt:P21549 AGXT,P21549,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference92,SPAT,P21549,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference92,AGT1,P21549,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference92,AGXT,P21549,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference96,PAOX,Q6QHF9,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference96,PAO,Q6QHF9,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference96,UNQ1923/PRO4398,Q6QHF9,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference96,UniProt:Q6QHF9 PAOX,Q6QHF9,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference39,CDABP0051,P12236,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference39,ANT3,P12236,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference39,UniProt:P12236 SLC25A6,P12236,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference39,AAC3,P12236,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference39,SLC25A6,P12236,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference19,TOM22,Q9NS69,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference19,UniProt:Q9NS69 TOMM22,Q9NS69,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference19,TOMM22,Q9NS69,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference105,UniProt:P35228 NOS2,P35228,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference105,NOS2A,P35228,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference105,NOS2,P35228,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference160,BAT3,P46379,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference160,G3,P46379,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference160,BAG6,P46379,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference160,UniProt:P46379 BAG6,P46379,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference34,MIA40,Q8N4Q1,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference34,CHCHD4,Q8N4Q1,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference34,UniProt:Q8N4Q1 CHCHD4,Q8N4Q1,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference146,CYB5A,P00167-1,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference146,UniProt:P00167-1 CYB5A,P00167-1,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference146,CYB5,P00167-1,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference59,TIMM14,Q96DA6,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference59,DNAJC19,Q96DA6,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference59,TIM14,Q96DA6,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference59,UniProt:Q96DA6 DNAJC19,Q96DA6,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference14,TOMM6,Q96B49,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference14,UniProt:Q96B49 TOMM6,Q96B49,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference14,TOM6,Q96B49,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference14,OBTP,Q96B49,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/9609507#ProteinReference124,ZFAND6,Q6FIF0,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
