entityRef,entityRefName,entityID,entityRefType
http://www.reactome.org/biopax/96/1852241#ProteinReference170,PCNT2,O95613,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/1852241#ProteinReference170,UniProt:O95613 PCNT,O95613,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/1852241#ProteinReference170,KIAA0402,O95613,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/1852241#ProteinReference170,PCNT,O95613,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/1852241#ProteinReference162,UniProt:P63167 DYNLL1,P63167,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/1852241#ProteinReference162,DYNLL1,P63167,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/1852241#ProteinReference162,DNCLC1,P63167,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/1852241#ProteinReference162,DNCL1,P63167,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/1852241#ProteinReference162,DLC1,P63167,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/1852241#ProteinReference162,HDLC1,P63167,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/1852241#ProteinReference73,MIC23,Q9BUR5,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/1852241#ProteinReference73,MIC26,Q9BUR5,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/1852241#ProteinReference73,APOO,Q9BUR5,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/1852241#ProteinReference73,FAM121B,Q9BUR5,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/1852241#ProteinReference73,My025,Q9BUR5,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/1852241#ProteinReference73,UNQ1866/PRO4302,Q9BUR5,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/1852241#ProteinReference73,UniProt:Q9BUR5 APOO,Q9BUR5,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/1852241#ProteinReference145,UniProt:O43303 CCP110,O43303,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
http://www.reactome.org/biopax/96/1852241#ProteinReference145,CP110,O43303,http://www.biopax.org/release/biopax-level3.owl#ProteinReference
