subPathwayID,interaction,pathwayID
R-HSA-2022090,abstraction:IsAComponentOf,R-HSA-1474290
R-HSA-1650814,abstraction:IsAComponentOf,R-HSA-1474290
R-HSA-1592389,abstraction:IsAComponentOf,R-HSA-1474228
R-HSA-1442490,abstraction:IsAComponentOf,R-HSA-1474228
R-HSA-8948216,abstraction:IsAComponentOf,R-HSA-1650814
R-HSA-1566948,abstraction:IsAComponentOf,R-HSA-1474244
R-HSA-3000171,abstraction:IsAComponentOf,R-HSA-1474244
R-HSA-3000178,abstraction:IsAComponentOf,R-HSA-1474244
R-HSA-216083,abstraction:IsAComponentOf,R-HSA-1474244
R-HSA-8941237,abstraction:IsAComponentOf,R-HSA-1474244
R-HSA-3000157,abstraction:IsAComponentOf,R-HSA-1474244
R-HSA-1474228,abstraction:IsAComponentOf,R-HSA-1474244
R-HSA-1474290,abstraction:IsAComponentOf,R-HSA-1474244
R-HSA-1566977,abstraction:IsAComponentOf,R-HSA-1474244
R-HSA-2214320,abstraction:IsAComponentOf,R-HSA-2022090
R-HSA-2243919,abstraction:IsAComponentOf,R-HSA-2022090
R-HSA-2129379,abstraction:IsAComponentOf,R-HSA-1566948
R-HSA-9913351,abstraction:IsAComponentOf,R-HSA-3000171
R-HSA-3000170,abstraction:IsAComponentOf,R-HSA-3000171
