pathwayID,interaction,nextPathwayID
R-HSA-9918432,abstraction:NextStepPathway,R-HSA-9918476
R-HSA-9918432,abstraction:NextStepPathway,R-HSA-9920588
R-HSA-9918432,abstraction:NextStepPathway,R-HSA-9920951
R-HSA-9918432,abstraction:NextStepPathway,R-HSA-9918487
R-HSA-9918432,abstraction:NextStepPathway,R-HSA-9918481
R-HSA-168275,abstraction:NextStepPathway,R-HSA-168288
R-HSA-9669935,abstraction:NextStepPathway,R-HSA-9670439
R-HSA-9683701,abstraction:NextStepPathway,R-HSA-9683673
R-HSA-9683701,abstraction:NextStepPathway,R-HSA-9683683
R-HSA-9683701,abstraction:NextStepPathway,R-HSA-9694631
R-HSA-9683701,abstraction:NextStepPathway,R-HSA-9683612
R-HSA-9683701,abstraction:NextStepPathway,R-HSA-9683686
R-HSA-9683701,abstraction:NextStepPathway,R-HSA-9683610
R-HSA-9694548,abstraction:NextStepPathway,R-HSA-9694322
R-HSA-9694548,abstraction:NextStepPathway,R-HSA-9733458
R-HSA-9694786,abstraction:NextStepPathway,R-HSA-9694635
R-HSA-9694786,abstraction:NextStepPathway,R-HSA-9694686
R-HSA-9694786,abstraction:NextStepPathway,R-HSA-9727281
R-HSA-9683673,abstraction:NextStepPathway,R-HSA-9735871
R-HSA-9683673,abstraction:NextStepPathway,R-HSA-9692916
R-HSA-9683673,abstraction:NextStepPathway,R-HSA-9692913
R-HSA-9683673,abstraction:NextStepPathway,R-HSA-9679509
R-HSA-9683673,abstraction:NextStepPathway,R-HSA-9686347
R-HSA-9828642,abstraction:NextStepPathway,R-HSA-9828721
R-HSA-9694301,abstraction:NextStepPathway,R-HSA-9694676
R-HSA-9694301,abstraction:NextStepPathway,R-HSA-9694271
R-HSA-9694301,abstraction:NextStepPathway,R-HSA-9754678
R-HSA-9694301,abstraction:NextStepPathway,R-HSA-9694686
R-HSA-9694301,abstraction:NextStepPathway,R-HSA-9705671
R-HSA-167200,abstraction:NextStepPathway,R-HSA-167246
R-HSA-9682706,abstraction:NextStepPathway,R-HSA-9679509
R-HSA-9694719,abstraction:NextStepPathway,R-HSA-9694322
R-HSA-9694719,abstraction:NextStepPathway,R-HSA-9754560
R-HSA-9694719,abstraction:NextStepPathway,R-HSA-9755779
R-HSA-9694719,abstraction:NextStepPathway,R-HSA-9705671
R-HSA-2894862,abstraction:NextStepPathway,R-HSA-2644606
R-HSA-9694676,abstraction:NextStepPathway,R-HSA-9694301
R-HSA-9694676,abstraction:NextStepPathway,R-HSA-9694271
R-HSA-9694676,abstraction:NextStepPathway,R-HSA-9705671
R-HSA-180746,abstraction:NextStepPathway,R-HSA-165054
R-HSA-167243,abstraction:NextStepPathway,R-HSA-167246
R-HSA-173107,abstraction:NextStepPathway,R-HSA-162585
R-HSA-176034,abstraction:NextStepPathway,R-HSA-167200
R-HSA-1222538,abstraction:NextStepPathway,R-HSA-1222541
R-HSA-9678110,abstraction:NextStepPathway,R-HSA-9682706
R-HSA-9678110,abstraction:NextStepPathway,R-HSA-9694614
R-HSA-9703465,abstraction:NextStepPathway,R-HSA-9702518
R-HSA-1839117,abstraction:NextStepPathway,R-HSA-5655302
R-HSA-9702518,abstraction:NextStepPathway,R-HSA-9703465
R-HSA-168874,abstraction:NextStepPathway,R-HSA-168316
R-HSA-5637810,abstraction:NextStepPathway,R-HSA-1236382
R-HSA-168336,abstraction:NextStepPathway,R-HSA-168271
R-HSA-9660821,abstraction:NextStepPathway,R-HSA-9664323
R-HSA-9828806,abstraction:NextStepPathway,R-HSA-9828642
R-HSA-9828806,abstraction:NextStepPathway,R-HSA-9833109
R-HSA-9828806,abstraction:NextStepPathway,R-HSA-9833110
R-HSA-9828806,abstraction:NextStepPathway,R-HSA-9820962
R-HSA-167242,abstraction:NextStepPathway,R-HSA-167290
R-HSA-167242,abstraction:NextStepPathway,R-HSA-167287
R-HSA-168288,abstraction:NextStepPathway,R-HSA-168336
R-HSA-167238,abstraction:NextStepPathway,R-HSA-167246
R-HSA-9683439,abstraction:NextStepPathway,R-HSA-9682706
R-HSA-9683439,abstraction:NextStepPathway,R-HSA-9692916
R-HSA-9635644,abstraction:NextStepPathway,R-HSA-9636383
R-HSA-162592,abstraction:NextStepPathway,R-HSA-177539
R-HSA-162592,abstraction:NextStepPathway,R-HSA-164843
R-HSA-162592,abstraction:NextStepPathway,R-HSA-175567
R-HSA-162585,abstraction:NextStepPathway,R-HSA-162594
R-HSA-9834752,abstraction:NextStepPathway,R-HSA-9833110
R-HSA-164525,abstraction:NextStepPathway,R-HSA-162594
R-HSA-9694493,abstraction:NextStepPathway,R-HSA-9694322
R-HSA-9694493,abstraction:NextStepPathway,R-HSA-9705677
R-HSA-9694493,abstraction:NextStepPathway,R-HSA-9705671
R-HSA-9918485,abstraction:NextStepPathway,R-HSA-9918487
R-HSA-9664422,abstraction:NextStepPathway,R-HSA-9664323
R-HSA-162599,abstraction:NextStepPathway,R-HSA-177243
R-HSA-9664323,abstraction:NextStepPathway,R-HSA-9660821
R-HSA-9664323,abstraction:NextStepPathway,R-HSA-9664422
R-HSA-9694271,abstraction:NextStepPathway,R-HSA-9694686
R-HSA-9636383,abstraction:NextStepPathway,R-HSA-9636569
R-HSA-168271,abstraction:NextStepPathway,R-HSA-192905
R-HSA-162594,abstraction:NextStepPathway,R-HSA-162592
R-HSA-162594,abstraction:NextStepPathway,R-HSA-164516
R-HSA-9828721,abstraction:NextStepPathway,R-HSA-9833109
R-HSA-9828721,abstraction:NextStepPathway,R-HSA-9828806
R-HSA-9828721,abstraction:NextStepPathway,R-HSA-9833110
R-HSA-9694594,abstraction:NextStepPathway,R-HSA-9694322
R-HSA-9637628,abstraction:NextStepPathway,R-HSA-9636383
R-HSA-167172,abstraction:NextStepPathway,R-HSA-167161
R-HSA-6802946,abstraction:NextStepPathway,R-HSA-6802955
R-HSA-9694631,abstraction:NextStepPathway,R-HSA-9694786
R-HSA-9694631,abstraction:NextStepPathway,R-HSA-9694322
R-HSA-9694631,abstraction:NextStepPathway,R-HSA-9755779
R-HSA-9694631,abstraction:NextStepPathway,R-HSA-9705671
R-HSA-9753512,abstraction:NextStepPathway,R-HSA-9649948
R-HSA-167158,abstraction:NextStepPathway,R-HSA-167242
R-HSA-167158,abstraction:NextStepPathway,R-HSA-167152
