subPathwayID,interaction,pathwayID
R-HSA-432722,abstraction:IsAComponentOf,R-HSA-199992
R-HSA-432720,abstraction:IsAComponentOf,R-HSA-199992
R-HSA-3000471,abstraction:IsAComponentOf,R-HSA-2173782
R-HSA-3000484,abstraction:IsAComponentOf,R-HSA-2173782
R-HSA-3000480,abstraction:IsAComponentOf,R-HSA-2173782
R-HSA-3000497,abstraction:IsAComponentOf,R-HSA-2173782
R-HSA-2168880,abstraction:IsAComponentOf,R-HSA-2173782
R-HSA-157858,abstraction:IsAComponentOf,R-HSA-199991
R-HSA-1445148,abstraction:IsAComponentOf,R-HSA-199991
R-HSA-199977,abstraction:IsAComponentOf,R-HSA-199991
R-HSA-917729,abstraction:IsAComponentOf,R-HSA-199991
R-HSA-6811442,abstraction:IsAComponentOf,R-HSA-199991
R-HSA-8856828,abstraction:IsAComponentOf,R-HSA-199991
R-HSA-199992,abstraction:IsAComponentOf,R-HSA-199991
R-HSA-9007101,abstraction:IsAComponentOf,R-HSA-199991
R-HSA-196025,abstraction:IsAComponentOf,R-HSA-190873
R-HSA-8856825,abstraction:IsAComponentOf,R-HSA-8856828
R-HSA-6811438,abstraction:IsAComponentOf,R-HSA-6811442
R-HSA-8856688,abstraction:IsAComponentOf,R-HSA-6811442
R-HSA-6811440,abstraction:IsAComponentOf,R-HSA-6811442
R-HSA-2173782,abstraction:IsAComponentOf,R-HSA-5653656
R-HSA-199991,abstraction:IsAComponentOf,R-HSA-5653656
R-HSA-191650,abstraction:IsAComponentOf,R-HSA-157858
R-HSA-190828,abstraction:IsAComponentOf,R-HSA-157858
R-HSA-8854214,abstraction:IsAComponentOf,R-HSA-9007101
R-HSA-8876198,abstraction:IsAComponentOf,R-HSA-9007101
R-HSA-6807878,abstraction:IsAComponentOf,R-HSA-199977
R-HSA-5694530,abstraction:IsAComponentOf,R-HSA-199977
R-HSA-204005,abstraction:IsAComponentOf,R-HSA-199977
R-HSA-190861,abstraction:IsAComponentOf,R-HSA-190828
R-HSA-190873,abstraction:IsAComponentOf,R-HSA-190828
R-HSA-6811436,abstraction:IsAComponentOf,R-HSA-8856688
R-HSA-6811434,abstraction:IsAComponentOf,R-HSA-8856688
R-HSA-190872,abstraction:IsAComponentOf,R-HSA-190861
R-HSA-190704,abstraction:IsAComponentOf,R-HSA-190861
R-HSA-190827,abstraction:IsAComponentOf,R-HSA-190861
R-HSA-190840,abstraction:IsAComponentOf,R-HSA-190872
