subPathwayID,interaction,pathwayID
R-HSA-5693571,abstraction:IsAComponentOf,R-HSA-5693532
R-HSA-5693606,abstraction:IsAComponentOf,R-HSA-5693532
R-HSA-5693538,abstraction:IsAComponentOf,R-HSA-5693532
R-HSA-110330,abstraction:IsAComponentOf,R-HSA-73927
R-HSA-110331,abstraction:IsAComponentOf,R-HSA-73927
R-HSA-9730737,abstraction:IsAComponentOf,R-HSA-73929
R-HSA-73928,abstraction:IsAComponentOf,R-HSA-73929
R-HSA-9636003,abstraction:IsAComponentOf,R-HSA-73929
R-HSA-73927,abstraction:IsAComponentOf,R-HSA-73929
R-HSA-5656121,abstraction:IsAComponentOf,R-HSA-110313
R-HSA-5655862,abstraction:IsAComponentOf,R-HSA-110313
R-HSA-110320,abstraction:IsAComponentOf,R-HSA-110313
R-HSA-5656169,abstraction:IsAComponentOf,R-HSA-110313
R-HSA-110312,abstraction:IsAComponentOf,R-HSA-110313
R-HSA-110329,abstraction:IsAComponentOf,R-HSA-73928
R-HSA-110328,abstraction:IsAComponentOf,R-HSA-73928
R-HSA-73933,abstraction:IsAComponentOf,R-HSA-73884
R-HSA-73929,abstraction:IsAComponentOf,R-HSA-73884
R-HSA-73930,abstraction:IsAComponentOf,R-HSA-110381
R-HSA-9750126,abstraction:IsAComponentOf,R-HSA-6783310
R-HSA-5358565,abstraction:IsAComponentOf,R-HSA-5358508
R-HSA-5358606,abstraction:IsAComponentOf,R-HSA-5358508
R-HSA-5685942,abstraction:IsAComponentOf,R-HSA-5693567
R-HSA-5685938,abstraction:IsAComponentOf,R-HSA-5693567
R-HSA-5693607,abstraction:IsAComponentOf,R-HSA-5693567
R-HSA-5696397,abstraction:IsAComponentOf,R-HSA-5696399
R-HSA-5696400,abstraction:IsAComponentOf,R-HSA-5696399
R-HSA-5696394,abstraction:IsAComponentOf,R-HSA-5696399
R-HSA-5696395,abstraction:IsAComponentOf,R-HSA-5696399
R-HSA-5693567,abstraction:IsAComponentOf,R-HSA-5693538
R-HSA-5685939,abstraction:IsAComponentOf,R-HSA-5693538
R-HSA-110362,abstraction:IsAComponentOf,R-HSA-110373
R-HSA-5651801,abstraction:IsAComponentOf,R-HSA-110373
R-HSA-112126,abstraction:IsAComponentOf,R-HSA-73943
R-HSA-112122,abstraction:IsAComponentOf,R-HSA-73943
R-HSA-73943,abstraction:IsAComponentOf,R-HSA-73942
R-HSA-9729902,abstraction:IsAComponentOf,R-HSA-73942
R-HSA-5657655,abstraction:IsAComponentOf,R-HSA-73942
R-HSA-6782135,abstraction:IsAComponentOf,R-HSA-6781827
R-HSA-6782210,abstraction:IsAComponentOf,R-HSA-6781827
R-HSA-6781823,abstraction:IsAComponentOf,R-HSA-6781827
R-HSA-6783310,abstraction:IsAComponentOf,R-HSA-73894
R-HSA-73884,abstraction:IsAComponentOf,R-HSA-73894
R-HSA-5693532,abstraction:IsAComponentOf,R-HSA-73894
R-HSA-5696398,abstraction:IsAComponentOf,R-HSA-73894
R-HSA-73893,abstraction:IsAComponentOf,R-HSA-73894
R-HSA-73942,abstraction:IsAComponentOf,R-HSA-73894
R-HSA-5358508,abstraction:IsAComponentOf,R-HSA-73894
R-HSA-5693616,abstraction:IsAComponentOf,R-HSA-5693579
R-HSA-5693579,abstraction:IsAComponentOf,R-HSA-5685942
R-HSA-5693537,abstraction:IsAComponentOf,R-HSA-5685942
R-HSA-5696399,abstraction:IsAComponentOf,R-HSA-5696398
R-HSA-6781827,abstraction:IsAComponentOf,R-HSA-5696398
R-HSA-5693565,abstraction:IsAComponentOf,R-HSA-5693606
R-HSA-5693548,abstraction:IsAComponentOf,R-HSA-5693606
R-HSA-5693568,abstraction:IsAComponentOf,R-HSA-5693537
R-HSA-5693554,abstraction:IsAComponentOf,R-HSA-5693537
R-HSA-110373,abstraction:IsAComponentOf,R-HSA-73933
R-HSA-5649702,abstraction:IsAComponentOf,R-HSA-73933
R-HSA-110381,abstraction:IsAComponentOf,R-HSA-73933
R-HSA-110357,abstraction:IsAComponentOf,R-HSA-73933
R-HSA-110314,abstraction:IsAComponentOf,R-HSA-73893
R-HSA-110313,abstraction:IsAComponentOf,R-HSA-73893
