pathwayID,interaction,nextPathwayID
R-HSA-9960519,abstraction:NextStepPathway,R-HSA-448706
R-HSA-168188,abstraction:NextStepPathway,R-HSA-166058
R-HSA-975138,abstraction:NextStepPathway,R-HSA-975163
R-HSA-936964,abstraction:NextStepPathway,R-HSA-9013973
R-HSA-936964,abstraction:NextStepPathway,R-HSA-9824878
R-HSA-166166,abstraction:NextStepPathway,R-HSA-936964
R-HSA-166166,abstraction:NextStepPathway,R-HSA-937072
R-HSA-166166,abstraction:NextStepPathway,R-HSA-937041
R-HSA-9014325,abstraction:NextStepPathway,R-HSA-9020702
R-HSA-9014325,abstraction:NextStepPathway,R-HSA-450321
R-HSA-9014325,abstraction:NextStepPathway,R-HSA-450302
R-HSA-9014325,abstraction:NextStepPathway,R-HSA-168638
R-HSA-9014325,abstraction:NextStepPathway,R-HSA-445989
R-HSA-1236978,abstraction:NextStepPathway,R-HSA-983170
R-HSA-1236978,abstraction:NextStepPathway,R-HSA-1236977
R-HSA-1236978,abstraction:NextStepPathway,R-HSA-983168
R-HSA-5686938,abstraction:NextStepPathway,R-HSA-166058
R-HSA-389357,abstraction:NextStepPathway,R-HSA-389359
R-HSA-389357,abstraction:NextStepPathway,R-HSA-202424
R-HSA-389357,abstraction:NextStepPathway,R-HSA-2730905
R-HSA-6785807,abstraction:NextStepPathway,R-HSA-9960519
R-HSA-6785807,abstraction:NextStepPathway,R-HSA-9020958
R-HSA-6785807,abstraction:NextStepPathway,R-HSA-8985947
R-HSA-6785807,abstraction:NextStepPathway,R-HSA-1266695
R-HSA-6785807,abstraction:NextStepPathway,R-HSA-8983432
R-HSA-6785807,abstraction:NextStepPathway,R-HSA-9960525
R-HSA-6785807,abstraction:NextStepPathway,R-HSA-6783783
R-HSA-6785807,abstraction:NextStepPathway,R-HSA-9020558
R-HSA-982772,abstraction:NextStepPathway,R-HSA-1266695
R-HSA-982772,abstraction:NextStepPathway,R-HSA-1170546
R-HSA-982772,abstraction:NextStepPathway,R-HSA-9020558
R-HSA-982772,abstraction:NextStepPathway,R-HSA-512988
R-HSA-9953170,abstraction:NextStepPathway,R-HSA-9948001
R-HSA-1222556,abstraction:NextStepPathway,R-HSA-8941413
R-HSA-168164,abstraction:NextStepPathway,R-HSA-9014325
R-HSA-168164,abstraction:NextStepPathway,R-HSA-937072
R-HSA-168164,abstraction:NextStepPathway,R-HSA-168927
R-HSA-168164,abstraction:NextStepPathway,R-HSA-9013973
R-HSA-9674555,abstraction:NextStepPathway,R-HSA-9705462
R-HSA-9912633,abstraction:NextStepPathway,R-HSA-983170
R-HSA-9912633,abstraction:NextStepPathway,R-HSA-983168
R-HSA-877300,abstraction:NextStepPathway,R-HSA-9953170
R-HSA-877300,abstraction:NextStepPathway,R-HSA-877312
R-HSA-877300,abstraction:NextStepPathway,R-HSA-9732724
R-HSA-389356,abstraction:NextStepPathway,R-HSA-389357
R-HSA-389356,abstraction:NextStepPathway,R-HSA-389359
R-HSA-933541,abstraction:NextStepPathway,R-HSA-933542
R-HSA-933541,abstraction:NextStepPathway,R-HSA-975110
R-HSA-933541,abstraction:NextStepPathway,R-HSA-3134963
R-HSA-168138,abstraction:NextStepPathway,R-HSA-975155
R-HSA-933542,abstraction:NextStepPathway,R-HSA-9909649
R-HSA-933542,abstraction:NextStepPathway,R-HSA-3134963
R-HSA-933542,abstraction:NextStepPathway,R-HSA-445989
R-HSA-933542,abstraction:NextStepPathway,R-HSA-1810476
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-2025928
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-2871809
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-2029485
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-1169091
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-983695
R-HSA-3270619,abstraction:NextStepPathway,R-HSA-1606341
R-HSA-3270619,abstraction:NextStepPathway,R-HSA-3134973
R-HSA-1606341,abstraction:NextStepPathway,R-HSA-3270619
R-HSA-1606341,abstraction:NextStepPathway,R-HSA-3134973
R-HSA-975110,abstraction:NextStepPathway,R-HSA-933541
R-HSA-975110,abstraction:NextStepPathway,R-HSA-3134963
R-HSA-936440,abstraction:NextStepPathway,R-HSA-1169408
R-HSA-8985947,abstraction:NextStepPathway,R-HSA-6785807
R-HSA-8985947,abstraction:NextStepPathway,R-HSA-9020958
R-HSA-8985947,abstraction:NextStepPathway,R-HSA-1266695
R-HSA-8985947,abstraction:NextStepPathway,R-HSA-8983432
R-HSA-8985947,abstraction:NextStepPathway,R-HSA-9020558
R-HSA-173623,abstraction:NextStepPathway,R-HSA-977606
R-HSA-173623,abstraction:NextStepPathway,R-HSA-166663
