source,interaction,target,weight
R-HSA-9764561,abstraction:NextStepPathway,R-HSA-9766229,0.7768087625081344
R-HSA-9764561,abstraction:NextStepPathway,R-HSA-9958825,0.6061125353391593
R-HSA-9764790,abstraction:NextStepPathway,R-HSA-9764562,1.1667798415088968
R-HSA-9766229,abstraction:NextStepPathway,R-HSA-9958810,0.7168108328328491
R-HSA-9764725,abstraction:NextStepPathway,R-HSA-9764562,0.645879662210647
R-HSA-9762293,abstraction:NextStepPathway,R-HSA-9759811,1.2304489213782739
R-HSA-9759811,abstraction:NextStepPathway,R-HSA-9762292,1.2081725266671217
R-HSA-9768727,abstraction:NextStepPathway,R-HSA-9764561,0.590124429955029
R-HSA-9768727,abstraction:NextStepPathway,R-HSA-9766229,0.5953886699473863
R-HSA-9958810,abstraction:NextStepPathway,R-HSA-9766229,0.7168108328328491
R-HSA-9958825,abstraction:NextStepPathway,R-HSA-9764561,0.6061125353391593
