pathwayID,interaction,nextPathwayID
R-HSA-9931510,abstraction:NextStepPathway,R-HSA-9933387
R-HSA-9931510,abstraction:NextStepPathway,R-HSA-9931512
R-HSA-9931510,abstraction:NextStepPathway,R-HSA-9931509
R-HSA-9931510,abstraction:NextStepPathway,R-HSA-9931530
R-HSA-9931529,abstraction:NextStepPathway,R-HSA-9931510
R-HSA-9931529,abstraction:NextStepPathway,R-HSA-1368108
R-HSA-9931521,abstraction:NextStepPathway,R-HSA-9932298
R-HSA-9931509,abstraction:NextStepPathway,R-HSA-9933387
R-HSA-9931509,abstraction:NextStepPathway,R-HSA-9931529
R-HSA-9931530,abstraction:NextStepPathway,R-HSA-9932298
R-HSA-9931530,abstraction:NextStepPathway,R-HSA-9931521
