R-HSA-73843,abstraction:IsAComponentOf,R-HSA-71336
R-HSA-194002,abstraction:IsAComponentOf,R-HSA-196071
R-HSA-193048,abstraction:IsAComponentOf,R-HSA-196071
R-HSA-193993,abstraction:IsAComponentOf,R-HSA-196071
R-HSA-196108,abstraction:IsAComponentOf,R-HSA-196071
R-HSA-193144,abstraction:IsAComponentOf,R-HSA-196071
R-HSA-2408508,abstraction:IsAComponentOf,R-HSA-2408522
R-HSA-2408557,abstraction:IsAComponentOf,R-HSA-2408522
R-HSA-5263617,abstraction:IsAComponentOf,R-HSA-2408522
R-HSA-2408552,abstraction:IsAComponentOf,R-HSA-2408522
R-HSA-2408550,abstraction:IsAComponentOf,R-HSA-2408522
R-HSA-2408499,abstraction:IsAComponentOf,R-HSA-2408522
R-HSA-3322077,abstraction:IsAComponentOf,R-HSA-8982491
R-HSA-70221,abstraction:IsAComponentOf,R-HSA-8982491
R-HSA-77108,abstraction:IsAComponentOf,R-HSA-74182
R-HSA-77111,abstraction:IsAComponentOf,R-HSA-74182
R-HSA-192105,abstraction:IsAComponentOf,R-HSA-194068
R-HSA-159418,abstraction:IsAComponentOf,R-HSA-194068
R-HSA-9859138,abstraction:IsAComponentOf,R-HSA-70895
R-HSA-2160916,abstraction:IsAComponentOf,R-HSA-2142845
R-HSA-174362,abstraction:IsAComponentOf,R-HSA-1630316
R-HSA-1971475,abstraction:IsAComponentOf,R-HSA-1630316
R-HSA-2142845,abstraction:IsAComponentOf,R-HSA-1630316
R-HSA-1638091,abstraction:IsAComponentOf,R-HSA-1630316
R-HSA-1638074,abstraction:IsAComponentOf,R-HSA-1630316
R-HSA-1793185,abstraction:IsAComponentOf,R-HSA-1630316
R-HSA-6807062,abstraction:IsAComponentOf,R-HSA-191273
R-HSA-9969896,abstraction:IsAComponentOf,R-HSA-191273
R-HSA-6807047,abstraction:IsAComponentOf,R-HSA-191273
R-HSA-9969901,abstraction:IsAComponentOf,R-HSA-191273
R-HSA-15869,abstraction:IsAComponentOf,R-HSA-1430728
R-HSA-2564830,abstraction:IsAComponentOf,R-HSA-1430728
R-HSA-1428517,abstraction:IsAComponentOf,R-HSA-1430728
R-HSA-71291,abstraction:IsAComponentOf,R-HSA-1430728
R-HSA-1362409,abstraction:IsAComponentOf,R-HSA-1430728
R-HSA-189445,abstraction:IsAComponentOf,R-HSA-1430728
R-HSA-196854,abstraction:IsAComponentOf,R-HSA-1430728
R-HSA-556833,abstraction:IsAComponentOf,R-HSA-1430728
R-HSA-71737,abstraction:IsAComponentOf,R-HSA-1430728
R-HSA-202131,abstraction:IsAComponentOf,R-HSA-1430728
R-HSA-163685,abstraction:IsAComponentOf,R-HSA-1430728
R-HSA-211859,abstraction:IsAComponentOf,R-HSA-1430728
R-HSA-1483249,abstraction:IsAComponentOf,R-HSA-1430728
R-HSA-71387,abstraction:IsAComponentOf,R-HSA-1430728
R-HSA-1475029,abstraction:IsAComponentOf,R-HSA-1430728
R-HSA-1989781,abstraction:IsAComponentOf,R-HSA-400206
R-HSA-975634,abstraction:IsAComponentOf,R-HSA-6806667
R-HSA-6806664,abstraction:IsAComponentOf,R-HSA-6806667
R-HSA-8877627,abstraction:IsAComponentOf,R-HSA-6806667
R-HSA-211994,abstraction:IsAComponentOf,R-HSA-211976
R-HSA-400042,abstraction:IsAComponentOf,R-HSA-422356
R-HSA-381676,abstraction:IsAComponentOf,R-HSA-422356
R-HSA-399997,abstraction:IsAComponentOf,R-HSA-422356
R-HSA-400451,abstraction:IsAComponentOf,R-HSA-422356
R-HSA-77285,abstraction:IsAComponentOf,R-HSA-77286
R-HSA-77346,abstraction:IsAComponentOf,R-HSA-77286
R-HSA-77352,abstraction:IsAComponentOf,R-HSA-77286
R-HSA-77310,abstraction:IsAComponentOf,R-HSA-77286
R-HSA-77350,abstraction:IsAComponentOf,R-HSA-77286
R-HSA-77305,abstraction:IsAComponentOf,R-HSA-77286
R-HSA-77348,abstraction:IsAComponentOf,R-HSA-77286
