pathwayID,interaction,nextPathwayID
R-HSA-2032785,abstraction:NextStepPathway,R-HSA-8951671
R-HSA-2032785,abstraction:NextStepPathway,R-HSA-8940973
R-HSA-6804114,abstraction:NextStepPathway,R-HSA-6804115
R-HSA-2173795,abstraction:NextStepPathway,R-HSA-2173796
R-HSA-73772,abstraction:NextStepPathway,R-HSA-73863
R-HSA-73772,abstraction:NextStepPathway,R-HSA-427389
R-HSA-73772,abstraction:NextStepPathway,R-HSA-427413
R-HSA-8866907,abstraction:NextStepPathway,R-HSA-8866911
R-HSA-8866907,abstraction:NextStepPathway,R-HSA-8864260
R-HSA-8866907,abstraction:NextStepPathway,R-HSA-8869496
R-HSA-8866907,abstraction:NextStepPathway,R-HSA-8866906
R-HSA-8866907,abstraction:NextStepPathway,R-HSA-8866910
R-HSA-8866907,abstraction:NextStepPathway,R-HSA-8866904
R-HSA-6804759,abstraction:NextStepPathway,R-HSA-6803211
R-HSA-6804759,abstraction:NextStepPathway,R-HSA-6803205
R-HSA-6804759,abstraction:NextStepPathway,R-HSA-6803204
R-HSA-6804759,abstraction:NextStepPathway,R-HSA-6804116
R-HSA-73776,abstraction:NextStepPathway,R-HSA-77075
R-HSA-73776,abstraction:NextStepPathway,R-HSA-674695
R-HSA-8951671,abstraction:NextStepPathway,R-HSA-2032785
R-HSA-8934593,abstraction:NextStepPathway,R-HSA-8939236
R-HSA-8934593,abstraction:NextStepPathway,R-HSA-8951936
R-HSA-8934593,abstraction:NextStepPathway,R-HSA-8939242
R-HSA-8934593,abstraction:NextStepPathway,R-HSA-8931987
R-HSA-8934593,abstraction:NextStepPathway,R-HSA-8877330
R-HSA-8934593,abstraction:NextStepPathway,R-HSA-8936459
R-HSA-8934593,abstraction:NextStepPathway,R-HSA-8939243
R-HSA-8934593,abstraction:NextStepPathway,R-HSA-8939247
R-HSA-8934593,abstraction:NextStepPathway,R-HSA-8939245
R-HSA-8934593,abstraction:NextStepPathway,R-HSA-8935964
R-HSA-8934593,abstraction:NextStepPathway,R-HSA-8939246
R-HSA-73863,abstraction:NextStepPathway,R-HSA-427389
R-HSA-73863,abstraction:NextStepPathway,R-HSA-427413
R-HSA-9768919,abstraction:NextStepPathway,R-HSA-9768778
R-HSA-8941333,abstraction:NextStepPathway,R-HSA-8939246
R-HSA-203927,abstraction:NextStepPathway,R-HSA-5578749
R-HSA-203927,abstraction:NextStepPathway,R-HSA-426496
R-HSA-76066,abstraction:NextStepPathway,R-HSA-749476
R-HSA-75955,abstraction:NextStepPathway,R-HSA-674695
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6804114
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6804759
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6803211
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6803205
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6804115
R-HSA-6804756,abstraction:NextStepPathway,R-HSA-6811555
