pathwayID,interaction,nextPathwayID
R-HSA-171319,abstraction:NextStepPathway,R-HSA-174430
R-HSA-171319,abstraction:NextStepPathway,R-HSA-174417
R-HSA-69202,abstraction:NextStepPathway,R-HSA-69656
R-HSA-69202,abstraction:NextStepPathway,R-HSA-69563
R-HSA-69202,abstraction:NextStepPathway,R-HSA-69273
R-HSA-69202,abstraction:NextStepPathway,R-HSA-69200
R-HSA-69202,abstraction:NextStepPathway,R-HSA-1362277
R-HSA-69202,abstraction:NextStepPathway,R-HSA-187577
R-HSA-69656,abstraction:NextStepPathway,R-HSA-69202
R-HSA-69656,abstraction:NextStepPathway,R-HSA-69563
R-HSA-69656,abstraction:NextStepPathway,R-HSA-69273
R-HSA-69656,abstraction:NextStepPathway,R-HSA-176408
R-HSA-69656,abstraction:NextStepPathway,R-HSA-187577
R-HSA-69091,abstraction:NextStepPathway,R-HSA-69183
R-HSA-453274,abstraction:NextStepPathway,R-HSA-69620
R-HSA-453274,abstraction:NextStepPathway,R-HSA-69278
R-HSA-69563,abstraction:NextStepPathway,R-HSA-69656
R-HSA-69563,abstraction:NextStepPathway,R-HSA-187577
R-HSA-174178,abstraction:NextStepPathway,R-HSA-174084
R-HSA-69273,abstraction:NextStepPathway,R-HSA-4419969
R-HSA-69273,abstraction:NextStepPathway,R-HSA-176417
R-HSA-69273,abstraction:NextStepPathway,R-HSA-176408
R-HSA-69273,abstraction:NextStepPathway,R-HSA-176412
R-HSA-69273,abstraction:NextStepPathway,R-HSA-2465910
R-HSA-69273,abstraction:NextStepPathway,R-HSA-75035
R-HSA-69273,abstraction:NextStepPathway,R-HSA-3301854
R-HSA-69273,abstraction:NextStepPathway,R-HSA-68875
R-HSA-69273,abstraction:NextStepPathway,R-HSA-69478
R-HSA-69273,abstraction:NextStepPathway,R-HSA-2299718
R-HSA-69273,abstraction:NextStepPathway,R-HSA-2980767
R-HSA-69273,abstraction:NextStepPathway,R-HSA-162658
R-HSA-69273,abstraction:NextStepPathway,R-HSA-174048
R-HSA-69273,abstraction:NextStepPathway,R-HSA-8852276
R-HSA-69273,abstraction:NextStepPathway,R-HSA-156711
R-HSA-69273,abstraction:NextStepPathway,R-HSA-2565942
R-HSA-2980766,abstraction:NextStepPathway,R-HSA-4419969
R-HSA-68877,abstraction:NextStepPathway,R-HSA-9648025
R-HSA-68877,abstraction:NextStepPathway,R-HSA-2500257
R-HSA-453279,abstraction:NextStepPathway,R-HSA-69620
R-HSA-453279,abstraction:NextStepPathway,R-HSA-69278
R-HSA-453279,abstraction:NextStepPathway,R-HSA-69239
R-HSA-69473,abstraction:NextStepPathway,R-HSA-176187
R-HSA-69473,abstraction:NextStepPathway,R-HSA-75035
R-HSA-69473,abstraction:NextStepPathway,R-HSA-69895
R-HSA-69473,abstraction:NextStepPathway,R-HSA-69601
R-HSA-69473,abstraction:NextStepPathway,R-HSA-69541
