pathwayID,interaction,nextPathwayID
R-HSA-9620244,abstraction:NextStepPathway,R-HSA-442729
R-HSA-1296041,abstraction:NextStepPathway,R-HSA-997272
R-HSA-888590,abstraction:NextStepPathway,R-HSA-977444
R-HSA-888593,abstraction:NextStepPathway,R-HSA-888590
R-HSA-888593,abstraction:NextStepPathway,R-HSA-916853
R-HSA-181429,abstraction:NextStepPathway,R-HSA-212676
R-HSA-181429,abstraction:NextStepPathway,R-HSA-181430
R-HSA-212676,abstraction:NextStepPathway,R-HSA-181429
R-HSA-212676,abstraction:NextStepPathway,R-HSA-181430
R-HSA-181430,abstraction:NextStepPathway,R-HSA-181429
R-HSA-181430,abstraction:NextStepPathway,R-HSA-212676
R-HSA-888568,abstraction:NextStepPathway,R-HSA-888590
R-HSA-112313,abstraction:NextStepPathway,R-HSA-112310
R-HSA-112308,abstraction:NextStepPathway,R-HSA-210500
R-HSA-112308,abstraction:NextStepPathway,R-HSA-264642
R-HSA-997272,abstraction:NextStepPathway,R-HSA-1296041
R-HSA-210500,abstraction:NextStepPathway,R-HSA-399710
R-HSA-210500,abstraction:NextStepPathway,R-HSA-451307
R-HSA-210500,abstraction:NextStepPathway,R-HSA-438066
R-HSA-210500,abstraction:NextStepPathway,R-HSA-264642
R-HSA-112310,abstraction:NextStepPathway,R-HSA-112313
R-HSA-9619229,abstraction:NextStepPathway,R-HSA-9617324
R-HSA-9619229,abstraction:NextStepPathway,R-HSA-438064
R-HSA-444257,abstraction:NextStepPathway,R-HSA-442742
R-HSA-210455,abstraction:NextStepPathway,R-HSA-210500
R-HSA-438066,abstraction:NextStepPathway,R-HSA-9620244
R-HSA-399719,abstraction:NextStepPathway,R-HSA-399710
R-HSA-977444,abstraction:NextStepPathway,R-HSA-1296041
R-HSA-977444,abstraction:NextStepPathway,R-HSA-997272
R-HSA-380615,abstraction:NextStepPathway,R-HSA-380612
