subPathwayID,interaction,pathwayID
R-HSA-69273,abstraction:IsAComponentOf,R-HSA-69275
R-HSA-8854521,abstraction:IsAComponentOf,R-HSA-69275
R-HSA-380287,abstraction:IsAComponentOf,R-HSA-69275
R-HSA-8854050,abstraction:IsAComponentOf,R-HSA-69275
R-HSA-8852276,abstraction:IsAComponentOf,R-HSA-69275
R-HSA-156711,abstraction:IsAComponentOf,R-HSA-69275
R-HSA-8854518,abstraction:IsAComponentOf,R-HSA-69275
R-HSA-2565942,abstraction:IsAComponentOf,R-HSA-69275
R-HSA-606279,abstraction:IsAComponentOf,R-HSA-774815
R-HSA-176417,abstraction:IsAComponentOf,R-HSA-176408
R-HSA-174113,abstraction:IsAComponentOf,R-HSA-176408
R-HSA-141405,abstraction:IsAComponentOf,R-HSA-176408
R-HSA-171306,abstraction:IsAComponentOf,R-HSA-157579
R-HSA-9670095,abstraction:IsAComponentOf,R-HSA-157579
R-HSA-180786,abstraction:IsAComponentOf,R-HSA-157579
R-HSA-113507,abstraction:IsAComponentOf,R-HSA-113510
R-HSA-113501,abstraction:IsAComponentOf,R-HSA-113510
R-HSA-75035,abstraction:IsAComponentOf,R-HSA-69473
R-HSA-69895,abstraction:IsAComponentOf,R-HSA-69560
R-HSA-1221632,abstraction:IsAComponentOf,R-HSA-1500620
R-HSA-912446,abstraction:IsAComponentOf,R-HSA-1500620
R-HSA-69231,abstraction:IsAComponentOf,R-HSA-69236
R-HSA-69017,abstraction:IsAComponentOf,R-HSA-69052
R-HSA-68949,abstraction:IsAComponentOf,R-HSA-69052
R-HSA-69166,abstraction:IsAComponentOf,R-HSA-69183
R-HSA-171319,abstraction:IsAComponentOf,R-HSA-180786
R-HSA-174417,abstraction:IsAComponentOf,R-HSA-180786
R-HSA-69200,abstraction:IsAComponentOf,R-HSA-69202
R-HSA-187577,abstraction:IsAComponentOf,R-HSA-69202
R-HSA-174178,abstraction:IsAComponentOf,R-HSA-174143
R-HSA-176408,abstraction:IsAComponentOf,R-HSA-174143
R-HSA-174084,abstraction:IsAComponentOf,R-HSA-174143
R-HSA-176814,abstraction:IsAComponentOf,R-HSA-174143
R-HSA-176407,abstraction:IsAComponentOf,R-HSA-174143
R-HSA-69613,abstraction:IsAComponentOf,R-HSA-69615
R-HSA-69580,abstraction:IsAComponentOf,R-HSA-69615
R-HSA-68881,abstraction:IsAComponentOf,R-HSA-2555396
R-HSA-68882,abstraction:IsAComponentOf,R-HSA-2555396
R-HSA-187577,abstraction:IsAComponentOf,R-HSA-69656
R-HSA-9754119,abstraction:IsAComponentOf,R-HSA-69231
R-HSA-174184,abstraction:IsAComponentOf,R-HSA-179419
R-HSA-179409,abstraction:IsAComponentOf,R-HSA-179419
R-HSA-176412,abstraction:IsAComponentOf,R-HSA-176814
R-HSA-176409,abstraction:IsAComponentOf,R-HSA-176814
R-HSA-69052,abstraction:IsAComponentOf,R-HSA-69239
R-HSA-68952,abstraction:IsAComponentOf,R-HSA-69239
R-HSA-69190,abstraction:IsAComponentOf,R-HSA-69239
R-HSA-380259,abstraction:IsAComponentOf,R-HSA-380284
R-HSA-68877,abstraction:IsAComponentOf,R-HSA-68886
R-HSA-68884,abstraction:IsAComponentOf,R-HSA-68886
R-HSA-2555396,abstraction:IsAComponentOf,R-HSA-68886
R-HSA-68875,abstraction:IsAComponentOf,R-HSA-68886
R-HSA-174430,abstraction:IsAComponentOf,R-HSA-174417
R-HSA-174411,abstraction:IsAComponentOf,R-HSA-174417
R-HSA-174414,abstraction:IsAComponentOf,R-HSA-174417
R-HSA-69091,abstraction:IsAComponentOf,R-HSA-69186
R-HSA-69183,abstraction:IsAComponentOf,R-HSA-69186
R-HSA-774815,abstraction:IsAComponentOf,R-HSA-73886
R-HSA-157579,abstraction:IsAComponentOf,R-HSA-73886
R-HSA-69236,abstraction:IsAComponentOf,R-HSA-453279
R-HSA-69206,abstraction:IsAComponentOf,R-HSA-453279
R-HSA-1538133,abstraction:IsAComponentOf,R-HSA-453279
R-HSA-9615933,abstraction:IsAComponentOf,R-HSA-2995410
R-HSA-2995383,abstraction:IsAComponentOf,R-HSA-2995410
R-HSA-9668328,abstraction:IsAComponentOf,R-HSA-2995410
R-HSA-69202,abstraction:IsAComponentOf,R-HSA-69206
R-HSA-113510,abstraction:IsAComponentOf,R-HSA-69206
R-HSA-68962,abstraction:IsAComponentOf,R-HSA-69206
R-HSA-69205,abstraction:IsAComponentOf,R-HSA-69206
R-HSA-69563,abstraction:IsAComponentOf,R-HSA-69580
R-HSA-2980766,abstraction:IsAComponentOf,R-HSA-68875
R-HSA-2465910,abstraction:IsAComponentOf,R-HSA-68875
R-HSA-2299718,abstraction:IsAComponentOf,R-HSA-68875
R-HSA-162658,abstraction:IsAComponentOf,R-HSA-68875
R-HSA-174154,abstraction:IsAComponentOf,R-HSA-176409
R-HSA-179419,abstraction:IsAComponentOf,R-HSA-176409
R-HSA-174048,abstraction:IsAComponentOf,R-HSA-176409
R-HSA-2514853,abstraction:IsAComponentOf,R-HSA-68877
R-HSA-9648025,abstraction:IsAComponentOf,R-HSA-68877
R-HSA-2500257,abstraction:IsAComponentOf,R-HSA-68877
R-HSA-380320,abstraction:IsAComponentOf,R-HSA-68877
R-HSA-69656,abstraction:IsAComponentOf,R-HSA-69242
R-HSA-2468052,abstraction:IsAComponentOf,R-HSA-69242
R-HSA-75815,abstraction:IsAComponentOf,R-HSA-69242
R-HSA-69239,abstraction:IsAComponentOf,R-HSA-69242
R-HSA-174437,abstraction:IsAComponentOf,R-HSA-174414
R-HSA-1362300,abstraction:IsAComponentOf,R-HSA-1538133
R-HSA-1362277,abstraction:IsAComponentOf,R-HSA-1538133
R-HSA-2995410,abstraction:IsAComponentOf,R-HSA-68882
R-HSA-2467813,abstraction:IsAComponentOf,R-HSA-68882
R-HSA-141405,abstraction:IsAComponentOf,R-HSA-69618
R-HSA-141424,abstraction:IsAComponentOf,R-HSA-69618
R-HSA-68911,abstraction:IsAComponentOf,R-HSA-453274
R-HSA-69275,abstraction:IsAComponentOf,R-HSA-453274
R-HSA-141444,abstraction:IsAComponentOf,R-HSA-141424
R-HSA-349425,abstraction:IsAComponentOf,R-HSA-69541
R-HSA-174143,abstraction:IsAComponentOf,R-HSA-453276
R-HSA-4419969,abstraction:IsAComponentOf,R-HSA-2980766
R-HSA-3301854,abstraction:IsAComponentOf,R-HSA-2980766
R-HSA-2980767,abstraction:IsAComponentOf,R-HSA-2980766
R-HSA-380284,abstraction:IsAComponentOf,R-HSA-380287
R-HSA-380270,abstraction:IsAComponentOf,R-HSA-380287
R-HSA-69601,abstraction:IsAComponentOf,R-HSA-69613
R-HSA-68886,abstraction:IsAComponentOf,R-HSA-69278
R-HSA-453274,abstraction:IsAComponentOf,R-HSA-69278
R-HSA-453279,abstraction:IsAComponentOf,R-HSA-69278
R-HSA-69242,abstraction:IsAComponentOf,R-HSA-69278
R-HSA-453276,abstraction:IsAComponentOf,R-HSA-69278
R-HSA-69473,abstraction:IsAComponentOf,R-HSA-69481
R-HSA-176187,abstraction:IsAComponentOf,R-HSA-69481
R-HSA-69478,abstraction:IsAComponentOf,R-HSA-69481
R-HSA-69091,abstraction:IsAComponentOf,R-HSA-69109
R-HSA-69620,abstraction:IsAComponentOf,R-HSA-1640170
R-HSA-69278,abstraction:IsAComponentOf,R-HSA-1640170
R-HSA-1500620,abstraction:IsAComponentOf,R-HSA-1640170
R-HSA-73886,abstraction:IsAComponentOf,R-HSA-1640170
R-HSA-69615,abstraction:IsAComponentOf,R-HSA-69620
R-HSA-69481,abstraction:IsAComponentOf,R-HSA-69620
R-HSA-69618,abstraction:IsAComponentOf,R-HSA-69620
R-HSA-2470946,abstraction:IsAComponentOf,R-HSA-68884
R-HSA-141430,abstraction:IsAComponentOf,R-HSA-141405
R-HSA-69560,abstraction:IsAComponentOf,R-HSA-69563
R-HSA-69541,abstraction:IsAComponentOf,R-HSA-69563
R-HSA-69109,abstraction:IsAComponentOf,R-HSA-69190
R-HSA-176974,abstraction:IsAComponentOf,R-HSA-69190
R-HSA-69186,abstraction:IsAComponentOf,R-HSA-69190
