pathwayID,interaction,nextPathwayID
R-HSA-5205685,abstraction:NextStepPathway,R-HSA-1632852
R-HSA-9613354,abstraction:NextStepPathway,R-HSA-9612973
R-HSA-9613354,abstraction:NextStepPathway,R-HSA-9615710
R-HSA-9613354,abstraction:NextStepPathway,R-HSA-9613829
R-HSA-9615710,abstraction:NextStepPathway,R-HSA-9613829
R-HSA-9646399,abstraction:NextStepPathway,R-HSA-9615710
R-HSA-9646399,abstraction:NextStepPathway,R-HSA-9613829
R-HSA-9613829,abstraction:NextStepPathway,R-HSA-9613354
R-HSA-9613829,abstraction:NextStepPathway,R-HSA-9615710
R-HSA-8934903,abstraction:NextStepPathway,R-HSA-1632852
