Q15583	Q9Y5K5	0.16666666666666666
Q15583	Q9HCE7	0.14285714285714285
Q15583	Q9Y618	0.75
Q15583	Q9HAU4	0.5
Q15583	Q8N2S1	0.2
Q15583	Q9NPB6	0.2
Q15583	Q969W9	0.16666666666666666
Q15583	Q6ZSZ5	0.2
Q15583	Q9Y4E8	0.16666666666666666
Q15583	Q9P2M7	0.2
Q15583	Q9GZN2	1.0
Q15583	Q9UPN9	0.75
Q15583	Q9NS15	0.2
Q15583	Q9UN42	0.75
Q15583	Q16254	0.75
Q15583	Q9Y624	0.2
Q15583	Q8TEW0	0.2
Q15583	Q15843	0.2
Q15583	Q96PU5	0.5
Q15583	Q15796	0.6666666666666666
Q15583	Q9Y3F4	0.16666666666666666
Q15583	Q9GZV5	1.0
Q15583	Q93008	0.75
Q15583	Q9NYA4	0.16666666666666666
Q15583	Q6ZNA4	1.0
Q15583	Q9UNE7	0.16666666666666666
Q9Y5K5	Q9Y618	0.2
Q9Y5K5	Q9Y624	0.25
Q9HCE7	Q9Y5K5	0.75
Q9HCE7	Q9Y618	0.16666666666666666
Q9HCE7	Q9NPB6	0.5
Q9HCE7	Q9Y4E8	0.75
Q9HCE7	Q9P2M7	0.5
Q9HCE7	Q9UPN9	0.16666666666666666
Q9HCE7	Q9NS15	0.5
Q9HCE7	Q9UN42	0.16666666666666666
Q9HCE7	Q9Y624	0.5
Q9HCE7	Q9Y3F4	0.75
Q9HCE7	Q9NYA4	0.75
Q9HCE7	Q9UNE7	0.75
O60583	Q15583	0.75
O60583	Q9Y5K5	0.2
O60583	Q9HCE7	0.16666666666666666
O60583	P84022	0.5
O60583	Q9Y618	0.5
O60583	Q03167	0.25
O60583	Q9HAU4	0.3333333333333333
O60583	P62942	0.2
O60583	Q8N2S1	0.25
O60583	Q9NPB6	0.25
O60583	Q969W9	0.2
O60583	Q6ZSZ5	0.25
O60583	Q9Y4E8	0.2
O60583	P27361	0.75
O60583	P62140	0.2
O60583	O75909	1.0
O60583	Q14766	0.25
O60583	P09958	0.75
O60583	Q13573	0.5
O60583	P51668	0.5
O60583	P61812	0.25
O60583	P22681	0.25
O60583	P36873	0.2
O60583	P62136	0.2
O60583	P0CG48	0.42857142857142855
O60583	P08123	1.0
O60583	Q9P2M7	0.25
O60583	P06756	0.25
O60583	P61586	0.25
O60583	Q9GZN2	0.75
O60583	P24863	1.0
O60583	P67809	1.0
O60583	P36897	0.16666666666666666
O60583	Q9UPN9	0.5
O60583	P28482	0.75
O60583	P01137	0.16666666666666666
O60583	P09874	0.5
O60583	P18084	0.25
O60583	P49336	1.0
O60583	Q9NS15	0.25
O60583	Q9UN42	0.5
O60583	P12757	0.5
O60583	Q15329	1.0
O60583	P05556	0.25
O60583	P18564	0.25
O60583	P08047	1.0
O60583	Q16254	1.0
O60583	P05121	1.0
O60583	Q13145	0.2
O60583	P61077	0.5
O60583	Q9Y624	0.25
O60583	P62987	0.42857142857142855
O60583	P12755	0.5
O60583	Q8TEW0	0.25
O60583	Q15843	0.25
O60583	Q14767	0.25
O60583	Q96PU5	0.3333333333333333
O60583	P26012	0.25
O60583	P62979	0.42857142857142855
O60583	Q15796	0.5
O60583	Q9Y3F4	0.2
O60583	O75807	0.2
O60583	P53708	0.25
O60583	P0CG47	0.42857142857142855
O60583	P61081	0.25
O60583	Q05513	0.25
O60583	Q9GZV5	0.75
O60583	P42772	1.0
O60583	O75376	0.5
O60583	Q93008	0.5
O60583	P01106	1.0
O60583	P37173	0.16666666666666666
O60583	P10600	0.25
O60583	P05106	0.25
O60583	Q9NYA4	0.2
O60583	Q14186	1.0
O60583	Q6ZNA4	0.75
