"entityID","entityName"
"P42224-1","STAT1"
"P42224-1","UniProt:P42224-1 STAT1"
"O95405-1","SARA"
"O95405-1","MADHIP"
"O95405-1","UniProt:O95405-1 ZFYVE9"
"O95405-1","ZFYVE9"
"O95405-1","SMADIP"
"CHEBI:17154","nicotinamide [ChEBI:17154]"
"CHEBI:17154","nicotinamide"
"CHEBI:57540","NAD(+)"
"CHEBI:57540","NAD(1-) [ChEBI:57540]"
"CHEBI:57540","NAD anion"
"CHEBI:57540","NAD(1-)"
"CHEBI:57540","adenosine 5'-{3-[1-(3-carbamoylpyridinio)-1,4-anhydro-D-ribitol-5-yl] diphosphate}"
"CHEBI:456216","ADP(3-)"
"CHEBI:456216","5&apos;-O-[(phosphonatooxy)phosphinato]adenosine"
"CHEBI:456216","ADP trianion"
"CHEBI:456216","ADP(3-) [ChEBI:456216]"
"CHEBI:456216","ADP"
"CHEBI:37565","GTP(4-)"
"CHEBI:37565","GTP(4-) [ChEBI:37565]"
"CHEBI:37565","guanosine 5'-triphosphate(4-)"
"CHEBI:37565","GTP"
"CHEBI:37565","gtp"
"CHEBI:30616","atp"
"CHEBI:30616","ATP(4-)"
"CHEBI:30616","ATP(4-) [ChEBI:30616]"
"CHEBI:30616","ATP"
"CHEBI:30616","Adenosine 5'-triphosphate"
"CHEBI:43474","[PO3(OH)](2-)"
"CHEBI:43474","HYDROGENPHOSPHATE ION"
"CHEBI:43474","[P(OH)O3](2-)"
"CHEBI:43474","HPO4(2-)"
"CHEBI:43474","hydrogen phosphate"
"CHEBI:43474","hydrogenphosphate"
"CHEBI:43474","INORGANIC PHOSPHATE GROUP"
"CHEBI:43474","hydrogenphosphate [ChEBI:43474]"
"CHEBI:43474","phosphate"
"CHEBI:15377","water [ChEBI:15377]"
"CHEBI:15377","water"
