pathwayID,entityID
R-HSA-162582,Q99878
R-HSA-162582,P16104
R-HSA-162582,P20671
R-HSA-162582,P0C5Y9
R-HSA-162582,P04908
R-HSA-162582,P84243
R-HSA-162582,Q71DI3
R-HSA-162582,P68431
R-HSA-162582,Q99879
R-HSA-162582,Q8N257
R-HSA-162582,P33778
R-HSA-162582,P57053
R-HSA-162582,Q93079
R-HSA-162582,P23527
R-HSA-162582,P58876
R-HSA-162582,Q99877
R-HSA-162582,Q99880
R-HSA-162582,O60814
R-HSA-162582,P62807
R-HSA-162582,P06899
R-HSA-162582,Q16778
R-HSA-162582,Q96A08
R-HSA-162582,P05412
R-HSA-162582,P15336
R-HSA-162582,P01100
R-HSA-162582,P14859
R-HSA-162582,Q13951
R-HSA-162582,Q01196
R-HSA-162582,P17535
R-HSA-162582,P53539
R-HSA-162582,Q8N3U4
R-HSA-162582,Q14683
R-HSA-162582,O60216
R-HSA-162582,Q9UQE7
R-HSA-162582,Q8WVM7
R-HSA-162582,O75362
R-HSA-162582,O00482
R-HSA-162582,Q15853
R-HSA-162582,Q15648
R-HSA-162582,Q15596
R-HSA-162582,P08047
R-HSA-162582,P22415
R-HSA-162582,O60563
R-HSA-162582,P50750
R-HSA-162582,P36954
R-HSA-162582,O15514
R-HSA-162582,P35269
R-HSA-162582,P13984
R-HSA-162582,P62875
R-HSA-162582,P61218
R-HSA-162582,P53803
R-HSA-162582,P30876
R-HSA-162582,P52434
R-HSA-162582,P62487
R-HSA-162582,P24928
R-HSA-162582,P19387
R-HSA-162582,P19388
R-HSA-162582,P52435
R-HSA-162582,Q13547
R-HSA-162582,P25490
R-HSA-162582,Q04726
R-HSA-162582,P06401
R-HSA-162582,O43815
R-HSA-162582,P12931
R-HSA-162582,Q03135
R-HSA-162582,P51636
R-HSA-162582,P35070
R-HSA-162582,O14944
R-HSA-162582,P01133
R-HSA-162582,P01135
R-HSA-162582,Q6UW88
R-HSA-162582,Q99075
R-HSA-162582,P15514
R-HSA-162582,P00533
R-HSA-162582,Q05397
R-HSA-162582,P16520
R-HSA-162582,P62879
R-HSA-162582,Q9HAV0
R-HSA-162582,O14775
R-HSA-162582,P62873
R-HSA-162582,P63215
R-HSA-162582,P63218
R-HSA-162582,Q9P2W3
R-HSA-162582,Q9UK08
R-HSA-162582,P50150
R-HSA-162582,O14610
R-HSA-162582,P61952
R-HSA-162582,O60262
R-HSA-162582,P63211
R-HSA-162582,P50151
