pathwayID,nbID
R-HSA-1655829,56
R-HSA-71262,4
R-HSA-2142700,6
R-HSA-71032,5
R-HSA-70921,9
R-HSA-163210,20
R-HSA-1483152,2
R-HSA-8982491,26
R-HSA-2142845,20
R-HSA-1660661,37
R-HSA-2142712,7
R-HSA-2408557,94
R-HSA-196843,7
R-HSA-9026762,2
R-HSA-199220,20
R-HSA-1660662,58
R-HSA-1483206,129
R-HSA-8978868,176
R-HSA-196071,36
R-HSA-203754,2
R-HSA-2142670,8
R-HSA-194068,44
R-HSA-975634,44
R-HSA-400451,11
R-HSA-71384,12
R-HSA-2142696,1
R-HSA-156582,2
R-HSA-351143,2
R-HSA-5652227,2
R-HSA-9018676,4
R-HSA-211979,12
R-HSA-8979227,38
R-HSA-1475029,12
R-HSA-77350,5
R-HSA-2408522,118
R-HSA-422356,79
R-HSA-1483166,39
R-HSA-8963684,5
R-HSA-1482801,22
R-HSA-74217,13
R-HSA-1482922,17
R-HSA-196791,12
R-HSA-166187,7
R-HSA-140179,4
R-HSA-75109,14
R-HSA-71240,14
R-HSA-163680,8
R-HSA-434313,3
R-HSA-6798163,8
R-HSA-71288,10
R-HSA-75896,3
R-HSA-211859,218
R-HSA-77111,8
R-HSA-1855196,34
R-HSA-156581,14
R-HSA-9033658,20
R-HSA-6806664,3
R-HSA-209931,5
R-HSA-1971475,29
R-HSA-196780,11
R-HSA-1614635,28
R-HSA-8956319,38
R-HSA-70688,3
R-HSA-70895,23
R-HSA-73614,11
R-HSA-211945,105
R-HSA-156580,107
R-HSA-211957,1
R-HSA-9027307,6
R-HSA-8963693,12
R-HSA-1855183,14
R-HSA-71403,34
R-HSA-209968,14
R-HSA-163560,24
R-HSA-192105,33
R-HSA-189451,15
R-HSA-1482839,29
R-HSA-1630316,135
R-HSA-6807047,10
R-HSA-2022870,21
R-HSA-9033807,3
R-HSA-9026286,2
R-HSA-77352,5
R-HSA-70370,6
R-HSA-170822,36
R-HSA-9026395,2
R-HSA-8964540,2
R-HSA-9856872,9
R-HSA-9859138,4
R-HSA-1482883,7
R-HSA-70326,90
R-HSA-2022923,12
R-HSA-1482798,6
R-HSA-71064,12
R-HSA-8956320,14
R-HSA-2564830,13
R-HSA-140180,1
R-HSA-203641,5
R-HSA-74182,10
R-HSA-193775,13
R-HSA-163767,7
R-HSA-1483196,1
R-HSA-73843,3
R-HSA-1989781,118
R-HSA-193993,6
R-HSA-9018679,6
R-HSA-211958,12
R-HSA-141333,2
R-HSA-8847453,4
R-HSA-1483226,5
R-HSA-8853383,4
R-HSA-156587,9
R-HSA-2046105,8
R-HSA-1660517,11
R-HSA-389599,6
R-HSA-9026403,1
R-HSA-9026766,1
R-HSA-9845614,12
R-HSA-8956321,23
R-HSA-389661,19
R-HSA-399997,10
R-HSA-8963691,11
R-HSA-196849,128
R-HSA-211935,16
R-HSA-200425,12
R-HSA-1483076,1
R-HSA-141334,2
R-HSA-71336,15
R-HSA-9025106,2
R-HSA-5652084,7
R-HSA-6806667,48
R-HSA-196836,8
R-HSA-1793185,37
R-HSA-2046104,13
R-HSA-350562,38
R-HSA-2142691,20
R-HSA-5661270,5
R-HSA-196783,7
R-HSA-174362,7
R-HSA-1855229,34
R-HSA-5653890,3
R-HSA-9853506,4
R-HSA-1362409,13
R-HSA-9018677,17
R-HSA-77346,6
R-HSA-9673163,1
R-HSA-163765,8
R-HSA-174403,13
R-HSA-75105,37
R-HSA-977347,11
R-HSA-8957322,157
R-HSA-9854311,20
R-HSA-193807,14
R-HSA-9865881,26
R-HSA-2022857,15
R-HSA-8849175,3
R-HSA-194002,10
R-HSA-1614558,15
R-HSA-211981,24
R-HSA-1855204,26
R-HSA-177162,2
R-HSA-9018896,5
R-HSA-70171,79
R-HSA-1638091,40
R-HSA-163754,2
R-HSA-9018678,19
R-HSA-351202,46
R-HSA-2395516,3
R-HSA-189483,16
R-HSA-1660499,53
R-HSA-6799198,68
R-HSA-156584,19
R-HSA-164378,18
R-HSA-74259,20
R-HSA-8964572,6
R-HSA-1660516,16
R-HSA-2162123,15
R-HSA-400042,28
