pathwayID,nbID
R-HSA-114516,5
R-HSA-418359,12
R-HSA-372708,15
R-HSA-9935598,9
R-HSA-114508,27
R-HSA-75892,14
R-HSA-210993,19
R-HSA-983231,140
R-HSA-210991,25
R-HSA-428930,26
R-HSA-76005,133
R-HSA-426048,5
R-HSA-432142,17
R-HSA-76009,38
R-HSA-392518,35
R-HSA-9769733,13
R-HSA-9769743,18
R-HSA-114604,33
R-HSA-109582,652
R-HSA-430116,10
R-HSA-392851,20
R-HSA-9769735,23
R-HSA-418592,25
R-HSA-418346,88
R-HSA-9769739,52
R-HSA-202733,179
R-HSA-392154,23
R-HSA-75205,13
R-HSA-114608,128
R-HSA-418360,28
R-HSA-418457,16
R-HSA-392023,3
R-HSA-456926,32
R-HSA-139853,16
R-HSA-983189,45
R-HSA-392170,22
R-HSA-210990,12
R-HSA-354192,28
R-HSA-76002,263
R-HSA-354194,15
R-HSA-9769740,59
