pathwayID,nbID
R-HSA-9022699,18
R-HSA-8941284,6
R-HSA-8940973,25
R-HSA-6804757,36
R-HSA-8939247,5
R-HSA-75955,58
R-HSA-749476,41
R-HSA-8951671,8
R-HSA-6803211,12
R-HSA-73863,31
R-HSA-8931987,6
R-HSA-5250924,59
R-HSA-427389,44
R-HSA-8941855,7
R-HSA-8941326,32
R-HSA-350054,28
R-HSA-6796648,62
R-HSA-6804760,19
R-HSA-212300,44
R-HSA-6804756,93
R-HSA-9614657,16
R-HSA-113418,33
R-HSA-8934593,17
R-HSA-9845323,66
R-HSA-76071,28
R-HSA-8939236,85
R-HSA-75944,4
R-HSA-163316,1
R-HSA-5250913,74
R-HSA-5334118,33
R-HSA-77075,27
R-HSA-8952158,5
R-HSA-5250941,77
R-HSA-203927,24
R-HSA-9614399,12
R-HSA-8941856,14
R-HSA-9772755,42
R-HSA-6803207,12
R-HSA-9768919,23
R-HSA-6804759,14
R-HSA-674695,82
R-HSA-73780,18
R-HSA-9022702,9
R-HSA-74160,1537
R-HSA-8866904,11
R-HSA-73776,48
R-HSA-427359,36
R-HSA-73857,1341
R-HSA-75953,48
R-HSA-2173793,51
R-HSA-8949275,6
R-HSA-9615017,30
R-HSA-9617828,17
R-HSA-9843940,76
R-HSA-212165,289
R-HSA-6804758,30
R-HSA-76061,28
R-HSA-6807505,74
R-HSA-9917777,135
R-HSA-112382,58
R-HSA-8951430,8
R-HSA-73856,30
R-HSA-8939242,8
R-HSA-6806003,37
R-HSA-211000,77
R-HSA-8935964,5
R-HSA-9022927,4
R-HSA-8986944,61
R-HSA-212436,1256
R-HSA-76046,36
R-HSA-74158,41
R-HSA-8878159,86
R-HSA-8869496,5
R-HSA-9634815,35
R-HSA-426486,9
R-HSA-73980,23
R-HSA-8866906,4
R-HSA-73762,47
R-HSA-9708296,3
R-HSA-5221030,4
R-HSA-8866910,13
R-HSA-8939243,37
R-HSA-5633007,161
R-HSA-163282,3
R-HSA-9768778,9
R-HSA-6804114,18
R-HSA-2173795,30
R-HSA-9843970,39
R-HSA-8939256,6
R-HSA-8866907,12
R-HSA-9818564,103
R-HSA-5633008,44
R-HSA-8866911,5
R-HSA-73854,78
R-HSA-5628897,85
R-HSA-8853884,39
R-HSA-6791312,49
R-HSA-9768777,4
R-HSA-2173796,36
R-HSA-9022707,6
R-HSA-426496,7
R-HSA-8939245,6
R-HSA-73772,59
R-HSA-6803205,14
R-HSA-76066,27
R-HSA-5601884,29
R-HSA-76042,48
R-HSA-8951936,9
R-HSA-9842860,111
R-HSA-73728,31
R-HSA-8878171,193
R-HSA-8877330,10
R-HSA-6804116,14
R-HSA-6811555,9
R-HSA-2032785,16
R-HSA-8941332,9
R-HSA-6804754,2
R-HSA-9614085,66
R-HSA-8953750,34
R-HSA-6803204,20
R-HSA-8939246,8
R-HSA-8936459,64
R-HSA-9851695,103
R-HSA-73864,79
R-HSA-8878166,107
R-HSA-9022692,32
R-HSA-383280,86
R-HSA-427413,74
R-HSA-73779,48
R-HSA-8951911,2
R-HSA-3700989,362
R-HSA-9617629,10
R-HSA-6804115,21
R-HSA-9841922,103
R-HSA-8864260,37
R-HSA-9768759,13
R-HSA-8941858,45
R-HSA-8939902,60
R-HSA-5578749,45
R-HSA-8941333,5
