pathwayID,nbID
R-HSA-8963889,19
R-HSA-727802,9
R-HSA-983712,179
R-HSA-936837,55
R-HSA-561048,5
R-HSA-427652,6
R-HSA-9955298,38
R-HSA-425397,32
R-HSA-5223345,27
R-HSA-425410,44
R-HSA-8981607,3
R-HSA-1369007,4
R-HSA-442660,21
R-HSA-428643,6
R-HSA-1480926,12
R-HSA-425381,10
R-HSA-549127,15
R-HSA-8964058,11
R-HSA-8964046,6
R-HSA-9958790,35
R-HSA-435354,15
R-HSA-8964038,19
R-HSA-8964026,5
R-HSA-429593,3
R-HSA-9958863,38
R-HSA-433692,6
R-HSA-427601,8
R-HSA-425407,244
R-HSA-8963898,19
R-HSA-1237044,12
R-HSA-444411,3
R-HSA-8964041,6
R-HSA-83936,12
R-HSA-8949664,16
R-HSA-432030,2
R-HSA-9958517,7
R-HSA-432047,13
R-HSA-426117,7
R-HSA-9845576,8
R-HSA-9959399,4
R-HSA-427589,3
R-HSA-8866423,5
R-HSA-8963899,35
R-HSA-804914,8
R-HSA-189200,21
R-HSA-382556,90
R-HSA-8866427,16
R-HSA-425561,11
R-HSA-879518,11
R-HSA-917977,31
R-HSA-2672351,102
R-HSA-8949215,23
R-HSA-917937,58
R-HSA-382551,716
R-HSA-8963901,10
R-HSA-352230,33
R-HSA-428559,2
R-HSA-1247673,8
R-HSA-174824,76
R-HSA-8963888,10
R-HSA-3295583,25
R-HSA-445717,53
R-HSA-8963896,8
R-HSA-425986,9
R-HSA-442380,10
R-HSA-433137,2
R-HSA-427975,3
R-HSA-432040,44
R-HSA-1369062,18
R-HSA-8964043,37
R-HSA-435368,5
R-HSA-8964011,5
