pathwayID,nbID
R-HSA-432722,56
R-HSA-190827,3
R-HSA-8876198,90
R-HSA-917729,31
R-HSA-196025,9
R-HSA-190704,3
R-HSA-432720,37
R-HSA-8856688,109
R-HSA-9007101,123
R-HSA-8856828,130
R-HSA-3000480,14
R-HSA-3000497,4
R-HSA-1445148,51
R-HSA-199991,586
R-HSA-204005,54
R-HSA-8854214,45
R-HSA-6811436,34
R-HSA-190872,2
R-HSA-6811434,75
R-HSA-2168880,34
R-HSA-190840,1
R-HSA-6811438,44
R-HSA-199977,137
R-HSA-6811440,49
R-HSA-190828,12
R-HSA-8856825,89
R-HSA-6807878,81
R-HSA-6811442,178
R-HSA-191650,4
R-HSA-3000471,10
R-HSA-157858,15
R-HSA-2173782,63
R-HSA-3000484,7
R-HSA-199992,74
R-HSA-5653656,648
R-HSA-190861,3
R-HSA-190873,10
R-HSA-5694530,33
