pathwayID,nbID
R-HSA-1222556,36
R-HSA-198753,22
R-HSA-9909649,70
R-HSA-168256,2311
R-HSA-1834949,64
R-HSA-9948001,6
R-HSA-2871809,114
R-HSA-844615,3
R-HSA-9927354,11
R-HSA-9960525,5
R-HSA-975144,10
R-HSA-8984722,12
R-HSA-166665,8
R-HSA-166786,109
R-HSA-9909505,19
R-HSA-9732724,8
R-HSA-983169,377
R-HSA-1606322,21
R-HSA-1236978,42
R-HSA-9020702,102
R-HSA-9686114,11
R-HSA-9020956,11
R-HSA-450321,18
R-HSA-5686938,19
R-HSA-2029482,150
R-HSA-168638,33
R-HSA-9020933,9
R-HSA-2029485,114
R-HSA-166166,110
R-HSA-9607240,39
R-HSA-389513,21
R-HSA-5660668,6
R-HSA-168181,107
R-HSA-3249367,3
R-HSA-9909648,164
R-HSA-168138,110
R-HSA-912526,27
R-HSA-202424,91
R-HSA-5621480,61
R-HSA-9014826,7
R-HSA-5669034,30
R-HSA-2424491,30
R-HSA-9014325,11
R-HSA-449836,24
R-HSA-450294,63
R-HSA-450282,31
R-HSA-5676594,17
R-HSA-9020958,10
R-HSA-3248023,1
R-HSA-975155,103
R-HSA-9929491,46
R-HSA-166020,2
R-HSA-392517,16
R-HSA-9860276,6
R-HSA-448424,72
R-HSA-9970672,37
R-HSA-879415,13
R-HSA-8983711,10
R-HSA-1236974,85
R-HSA-1059683,15
R-HSA-1236975,101
R-HSA-5621575,22
R-HSA-844623,5
R-HSA-389357,29
R-HSA-5668541,89
R-HSA-975871,98
R-HSA-3270619,13
R-HSA-2132295,111
R-HSA-168249,1226
R-HSA-9013957,6
R-HSA-2730905,99
R-HSA-166058,115
R-HSA-6803157,95
R-HSA-1236973,8
R-HSA-1169410,157
R-HSA-450341,10
R-HSA-9758274,18
R-HSA-8851680,12
R-HSA-449147,457
R-HSA-202430,26
R-HSA-2562578,9
R-HSA-937039,10
R-HSA-512988,44
R-HSA-9855719,9
R-HSA-977606,134
R-HSA-9948011,1
R-HSA-202433,41
R-HSA-983168,296
R-HSA-1810476,17
R-HSA-909733,80
R-HSA-1236977,12
R-HSA-6785807,110
R-HSA-6783783,45
R-HSA-447115,56
R-HSA-1461973,49
R-HSA-9931295,17
R-HSA-6783589,28
R-HSA-6798695,478
R-HSA-9705462,25
R-HSA-9909620,9
R-HSA-8985947,9
R-HSA-877300,98
R-HSA-2855086,5
R-HSA-877312,14
R-HSA-2025928,9
R-HSA-9706369,15
R-HSA-388841,244
R-HSA-918233,18
R-HSA-1170546,15
R-HSA-166658,151
R-HSA-1834941,16
R-HSA-912631,18
R-HSA-6799990,6
R-HSA-448706,9
R-HSA-389356,50
R-HSA-975163,15
R-HSA-1266695,25
R-HSA-2871796,116
R-HSA-9020591,46
R-HSA-8983432,14
R-HSA-2871837,151
R-HSA-1280218,965
R-HSA-3134973,5
R-HSA-622312,25
R-HSA-937072,16
R-HSA-5607763,11
R-HSA-9953170,15
R-HSA-9824878,14
R-HSA-445989,45
R-HSA-9931269,55
R-HSA-9833482,62
R-HSA-181438,115
R-HSA-9929356,44
R-HSA-389948,191
R-HSA-937061,110
R-HSA-168188,115
R-HSA-173736,4
R-HSA-168176,98
R-HSA-168164,106
R-HSA-2454202,205
R-HSA-9912633,19
R-HSA-975138,102
R-HSA-8854691,25
R-HSA-1606341,5
R-HSA-933542,25
R-HSA-936964,18
R-HSA-9968551,4
R-HSA-1169408,80
R-HSA-389359,12
R-HSA-166016,145
R-HSA-168643,57
R-HSA-983705,163
R-HSA-933543,13
R-HSA-199920,7
R-HSA-9674555,30
R-HSA-202670,13
R-HSA-5607764,85
R-HSA-5684264,16
R-HSA-936440,35
R-HSA-168142,98
R-HSA-982772,24
R-HSA-168898,171
R-HSA-168179,115
R-HSA-9680350,31
R-HSA-5621481,161
R-HSA-937041,23
R-HSA-202403,113
R-HSA-9706374,6
R-HSA-9014843,4
R-HSA-202427,29
R-HSA-9007892,4
R-HSA-912694,26
R-HSA-168927,19
R-HSA-983695,95
R-HSA-983170,30
R-HSA-844456,17
R-HSA-9013973,13
R-HSA-937042,10
R-HSA-1280215,785
R-HSA-933541,29
R-HSA-1462054,10
R-HSA-9645135,7
R-HSA-6788467,17
R-HSA-168928,86
R-HSA-1168372,69
R-HSA-5690714,70
R-HSA-173623,95
R-HSA-8950505,37
R-HSA-844455,3
R-HSA-9909615,86
R-HSA-913531,284
R-HSA-9645460,11
R-HSA-9960519,5
R-HSA-6803544,4
R-HSA-1169091,54
R-HSA-198933,224
R-HSA-451927,45
R-HSA-8941413,2
R-HSA-450302,19
R-HSA-9012546,9
R-HSA-3134975,15
R-HSA-3134963,7
R-HSA-5607761,47
R-HSA-975110,9
R-HSA-166663,116
R-HSA-1461957,39
R-HSA-2029481,101
R-HSA-9008059,21
R-HSA-2172127,45
R-HSA-174577,6
R-HSA-1169092,6
R-HSA-446652,142
R-HSA-9927353,5
R-HSA-9020558,12
R-HSA-1679131,13
R-HSA-5676590,46
R-HSA-9828211,11
R-HSA-166662,14
R-HSA-2029480,175
