pathwayID,nbID
R-HSA-1296061,4
R-HSA-1296065,35
R-HSA-442729,8
R-HSA-1296041,29
R-HSA-399710,4
R-HSA-1296053,4
R-HSA-9617324,21
R-HSA-451307,2
R-HSA-181429,18
R-HSA-6794361,60
R-HSA-6794362,91
R-HSA-888593,4
R-HSA-1299308,3
R-HSA-380612,2
R-HSA-438066,21
R-HSA-1299316,2
R-HSA-379401,4
R-HSA-629587,7
R-HSA-112313,4
R-HSA-1296072,43
R-HSA-9620244,25
R-HSA-1296052,9
R-HSA-451306,10
R-HSA-1299344,1
R-HSA-379397,3
R-HSA-1299287,1
R-HSA-451326,30
R-HSA-622327,14
R-HSA-442742,29
R-HSA-399719,31
R-HSA-9609736,25
R-HSA-212676,23
R-HSA-622323,12
R-HSA-112308,12
R-HSA-1299503,3
R-HSA-997272,29
R-HSA-444257,7
R-HSA-1296025,4
R-HSA-112316,400
R-HSA-888590,19
R-HSA-170670,14
R-HSA-1296071,103
R-HSA-388844,20
R-HSA-379398,2
R-HSA-1299361,2
R-HSA-8849932,21
R-HSA-442755,78
R-HSA-380615,3
R-HSA-916853,2
R-HSA-977444,43
R-HSA-9619229,7
R-HSA-991365,43
R-HSA-112307,5
R-HSA-629597,9
R-HSA-500657,21
R-HSA-181430,18
R-HSA-112311,10
R-HSA-112315,254
R-HSA-438064,65
R-HSA-112303,5
R-HSA-9619483,10
R-HSA-399721,31
R-HSA-888568,2
R-HSA-442720,12
R-HSA-442982,21
R-HSA-416993,17
R-HSA-451308,10
R-HSA-264642,17
R-HSA-210455,4
R-HSA-210500,24
R-HSA-181431,14
R-HSA-977443,60
R-HSA-629594,11
R-HSA-1296059,29
R-HSA-112310,51
R-HSA-1296067,3
R-HSA-1296346,12
R-HSA-112314,189
