pathwayID,nbID
R-HSA-9758919,4
R-HSA-9821993,24
R-HSA-9824594,12
R-HSA-8853659,38
R-HSA-9831926,12
R-HSA-416700,19
R-HSA-9823730,15
R-HSA-416550,8
R-HSA-381340,84
R-HSA-9010553,159
R-HSA-428542,10
R-HSA-210745,23
R-HSA-9824272,45
R-HSA-9832991,10
R-HSA-9830364,18
R-HSA-373755,64
R-HSA-210744,16
R-HSA-9820865,12
R-HSA-9820841,25
R-HSA-3928662,34
R-HSA-1266738,1388
R-HSA-9819196,18
R-HSA-9843743,31
R-HSA-5619507,91
R-HSA-418890,10
R-HSA-9945266,87
R-HSA-399954,16
R-HSA-373752,44
R-HSA-375165,54
R-HSA-2892247,13
R-HSA-8985586,4
R-HSA-418886,8
R-HSA-9821002,39
R-HSA-9854909,4
R-HSA-9758941,115
R-HSA-9927426,1
R-HSA-447038,7
R-HSA-419037,32
R-HSA-9976102,75
R-HSA-9725554,1
R-HSA-445095,15
R-HSA-210747,8
R-HSA-9925563,13
R-HSA-9824585,42
R-HSA-376172,4
R-HSA-5682910,14
R-HSA-399955,14
R-HSA-9823739,11
R-HSA-9730414,149
R-HSA-6809371,75
R-HSA-418885,14
R-HSA-9856649,63
R-HSA-9619665,29
R-HSA-9825892,18
R-HSA-447043,7
R-HSA-525793,29
R-HSA-9843745,110
R-HSA-9761174,8
R-HSA-428543,8
R-HSA-210746,5
R-HSA-9754189,17
R-HSA-9830369,46
R-HSA-2892245,3
R-HSA-399956,16
R-HSA-9937080,5
R-HSA-9854907,3
R-HSA-9816359,90
R-HSA-3928665,49
R-HSA-9010642,9
R-HSA-9820448,18
R-HSA-9793380,59
R-HSA-452723,24
R-HSA-9856651,97
R-HSA-9675108,520
R-HSA-9834899,17
R-HSA-5617472,91
R-HSA-9796292,14
R-HSA-211163,4
R-HSA-9733709,27
R-HSA-9927432,3
R-HSA-8866376,5
R-HSA-2682334,92
R-HSA-400685,24
R-HSA-447041,9
R-HSA-1181150,23
R-HSA-6805567,217
R-HSA-373760,86
R-HSA-9926550,12
R-HSA-8985801,4
R-HSA-9857377,12
R-HSA-9927418,3
R-HSA-416572,20
R-HSA-3928663,15
R-HSA-1433617,8
R-HSA-9825895,6
R-HSA-437239,28
R-HSA-9690406,11
R-HSA-9616222,58
R-HSA-445144,21
R-HSA-428540,13
R-HSA-9942503,12
R-HSA-376176,205
R-HSA-9844594,31
R-HSA-422475,494
R-HSA-9938206,1
R-HSA-9758920,5
R-HSA-9734767,21
R-HSA-9734779,5
R-HSA-9924644,5
R-HSA-3928664,19
R-HSA-428890,8
R-HSA-186712,44
R-HSA-9830674,21
