pathwayID,nbID
R-HSA-975956,96
R-HSA-6784531,62
R-HSA-6791226,183
R-HSA-159234,47
R-HSA-429914,56
R-HSA-429958,16
R-HSA-159230,40
R-HSA-72306,117
R-HSA-9930044,35
R-HSA-6790901,60
R-HSA-975957,117
R-HSA-6787450,11
R-HSA-6782315,45
R-HSA-75067,30
R-HSA-9837092,4
R-HSA-8868773,193
R-HSA-72187,153
R-HSA-75094,8
R-HSA-72163,204
R-HSA-450385,17
R-HSA-72086,29
R-HSA-191859,58
R-HSA-450531,75
R-HSA-72200,8
R-HSA-8868766,17
R-HSA-428359,3
R-HSA-450604,17
R-HSA-6793080,13
R-HSA-6782861,6
R-HSA-6785470,5
R-HSA-8953854,747
R-HSA-77588,11
R-HSA-927802,117
R-HSA-159236,78
R-HSA-111367,10
R-HSA-77042,2
R-HSA-9836573,10
R-HSA-77595,21
R-HSA-450520,8
R-HSA-72203,298
R-HSA-72312,210
R-HSA-430039,15
R-HSA-75102,2
R-HSA-72172,212
R-HSA-159227,39
R-HSA-72165,50
R-HSA-159231,46
R-HSA-75072,10
R-HSA-9770562,128
R-HSA-72202,87
R-HSA-429947,25
R-HSA-75064,2
R-HSA-450513,17
R-HSA-9937008,11
R-HSA-194441,58
R-HSA-450408,43
