pathwayID,nbID
R-HSA-9856530,70
R-HSA-2644603,59
R-HSA-9013973,13
R-HSA-2142688,9
R-HSA-2428924,33
R-HSA-5626978,6
R-HSA-8866911,5
R-HSA-9764274,159
R-HSA-9931512,4
R-HSA-9630221,1
R-HSA-69206,120
R-HSA-2990846,181
R-HSA-9026357,2
R-HSA-162585,8
R-HSA-9645135,7
R-HSA-1483255,84
R-HSA-5602636,3
R-HSA-202131,17
R-HSA-9013404,87
R-HSA-5419276,102
R-HSA-173623,30
R-HSA-217271,3
R-HSA-6803205,14
R-HSA-1222538,13
R-HSA-2142770,6
R-HSA-2644606,59
R-HSA-9725371,31
R-HSA-5619062,1
R-HSA-9793528,5
R-HSA-9842860,111
R-HSA-176034,3
R-HSA-9717264,1
R-HSA-446205,6
R-HSA-69202,71
R-HSA-8877330,10
R-HSA-5678520,1
R-HSA-9825895,6
R-HSA-9013405,53
R-HSA-9006931,263
R-HSA-5655862,17
R-HSA-6811434,75
R-HSA-6804754,2
R-HSA-9834752,7
R-HSA-9759774,2
R-HSA-9769743,18
R-HSA-6803204,20
R-HSA-2453902,22
R-HSA-2644605,6
R-HSA-9008059,21
R-HSA-2172127,45
R-HSA-9725370,90
R-HSA-5619063,1
R-HSA-167044,21
R-HSA-383280,86
R-HSA-174824,76
R-HSA-9674519,3
R-HSA-176033,47
R-HSA-77305,3
R-HSA-3304351,8
R-HSA-9820952,133
R-HSA-196854,199
R-HSA-6787639,6
R-HSA-9860931,92
R-HSA-9930449,3
R-HSA-5654221,5
R-HSA-380259,69
R-HSA-629594,2
R-HSA-1483257,212
R-HSA-9013406,59
R-HSA-9694322,6
R-HSA-9664417,84
R-HSA-8852276,47
R-HSA-1655829,56
R-HSA-198765,2
R-HSA-71032,5
R-HSA-9635644,3
R-HSA-2187335,7
R-HSA-9818030,11
R-HSA-9845619,2
R-HSA-8853336,3
R-HSA-5619056,1
R-HSA-9665737,4
R-HSA-195253,70
R-HSA-446388,8
R-HSA-111446,3
R-HSA-9010553,159
R-HSA-9943965,69
R-HSA-9672383,3
R-HSA-9013407,37
R-HSA-8984722,12
R-HSA-110330,38
R-HSA-4839726,344
R-HSA-69416,11
R-HSA-114604,33
R-HSA-9013408,74
R-HSA-71384,12
R-HSA-5693537,36
R-HSA-2142696,1
R-HSA-418592,25
R-HSA-422085,20
R-HSA-9759194,87
R-HSA-157858,15
R-HSA-5334118,33
R-HSA-163615,18
R-HSA-8948216,44
R-HSA-9820865,12
R-HSA-9020956,11
R-HSA-5603041,15
R-HSA-1483166,39
R-HSA-1482801,22
R-HSA-9839923,369
R-HSA-3214815,53
R-HSA-168330,7
R-HSA-428359,3
R-HSA-5655332,25
R-HSA-450604,17
R-HSA-9664407,84
R-HSA-2404192,34
R-HSA-5668914,272
R-HSA-110331,37
R-HSA-9843743,31
R-HSA-5659996,1
R-HSA-5339717,6
R-HSA-114516,5
R-HSA-73780,18
R-HSA-5693538,113
R-HSA-9705683,216
R-HSA-9035968,1
R-HSA-434313,3
R-HSA-9013409,53
R-HSA-1222449,6
R-HSA-9818032,8
R-HSA-9679191,94
R-HSA-8853334,1
R-HSA-5619054,1
R-HSA-453279,139
R-HSA-2453864,13
R-HSA-9033658,20
R-HSA-179409,26
R-HSA-8874211,9
R-HSA-9839394,19
R-HSA-109606,55
R-HSA-9679504,17
R-HSA-190840,1
R-HSA-917977,31
R-HSA-9759811,4
R-HSA-4549349,1
R-HSA-5339716,15
R-HSA-174113,42
R-HSA-141405,21
R-HSA-9014826,7
R-HSA-8853333,1
R-HSA-1234158,11
R-HSA-209968,14
R-HSA-5619055,1
R-HSA-450294,59
R-HSA-445717,53
R-HSA-3000484,7
R-HSA-9020958,10
R-HSA-388396,534
R-HSA-9012999,446
R-HSA-164944,9
R-HSA-2428933,12
R-HSA-5627123,21
R-HSA-166020,2
R-HSA-8852135,79
R-HSA-9856872,9
R-HSA-9843745,110
R-HSA-174154,55
R-HSA-9860276,6
R-HSA-426486,6
R-HSA-9953111,1
R-HSA-397795,32
R-HSA-5218920,29
R-HSA-9701190,41
R-HSA-5654708,17
R-HSA-168333,42
R-HSA-5687868,1
R-HSA-879415,13
R-HSA-5250968,9
R-HSA-3304349,7
R-HSA-375276,200
R-HSA-418597,45
R-HSA-1989781,118
R-HSA-5693532,143
R-HSA-9734009,23
R-HSA-2514859,33
R-HSA-9937080,5
R-HSA-8847453,4
R-HSA-5663220,122
R-HSA-8851907,6
R-HSA-9679506,439
R-HSA-9010642,9
R-HSA-8873719,65
R-HSA-68875,118
R-HSA-1660517,11
R-HSA-389599,6
R-HSA-3108232,175
R-HSA-1296072,43
R-HSA-9845614,12
R-HSA-168249,1135
R-HSA-195258,275
R-HSA-5659735,1
R-HSA-5218921,20
R-HSA-182971,31
R-HSA-111885,90
R-HSA-2187338,99
R-HSA-1483076,1
R-HSA-1226099,73
R-HSA-446343,4
R-HSA-114608,128
R-HSA-446210,8
R-HSA-9025106,2
R-HSA-8851680,12
R-HSA-5652084,7
R-HSA-449147,455
R-HSA-9031525,5
R-HSA-9694594,1
R-HSA-4090294,31
R-HSA-2142691,20
R-HSA-6793080,13
R-HSA-3560783,20
R-HSA-9709603,24
R-HSA-111448,5
R-HSA-5654706,11
R-HSA-1296071,99
R-HSA-9701192,25
R-HSA-909733,80
R-HSA-1299361,2
R-HSA-1632852,125
R-HSA-8878171,180
R-HSA-9009391,79
R-HSA-5619058,1
R-HSA-9706574,35
R-HSA-5658623,13
R-HSA-977444,37
R-HSA-9933387,24
R-HSA-9931295,15
R-HSA-3214858,48
R-HSA-426048,5
R-HSA-5688849,8
R-HSA-9683673,10
R-HSA-445144,21
R-HSA-3560782,41
R-HSA-9909438,2
R-HSA-168336,9
R-HSA-9764725,62
R-HSA-9705462,23
R-HSA-9942503,12
R-HSA-392851,20
R-HSA-418594,197
R-HSA-9619483,10
R-HSA-9709957,639
R-HSA-3282872,1
R-HSA-9701193,25
R-HSA-111447,15
R-HSA-453276,75
R-HSA-8963743,28
R-HSA-9679509,6
R-HSA-977225,55
R-HSA-977443,42
R-HSA-3304347,3
R-HSA-1660516,16
R-HSA-164940,11
R-HSA-9839397,3
R-HSA-9665250,4
R-HSA-114294,2
R-HSA-69190,32
R-HSA-2871796,51
R-HSA-5654704,10
R-HSA-9022699,18
R-HSA-9660537,8
R-HSA-9723905,1
R-HSA-3000171,57
R-HSA-187037,117
R-HSA-5619101,1
R-HSA-170984,7
R-HSA-1640170,665
R-HSA-9701898,11
R-HSA-937072,16
