pathwayID,nbID
R-HSA-176408,68
R-HSA-606279,53
R-HSA-2468052,11
R-HSA-68882,224
R-HSA-176412,20
R-HSA-174417,34
R-HSA-69200,4
R-HSA-69236,47
R-HSA-1640170,665
R-HSA-9648025,98
R-HSA-68952,8
R-HSA-8854521,2
R-HSA-69183,15
R-HSA-69620,273
R-HSA-69478,7
R-HSA-380284,69
R-HSA-69563,53
R-HSA-176407,20
R-HSA-187577,47
R-HSA-69618,111
R-HSA-73886,119
R-HSA-75035,15
R-HSA-8854518,72
R-HSA-453274,178
R-HSA-1221632,59
R-HSA-2514853,11
R-HSA-3301854,40
R-HSA-69580,53
R-HSA-162658,14
R-HSA-9668328,32
R-HSA-68949,58
R-HSA-69091,14
R-HSA-1500620,89
R-HSA-174411,26
R-HSA-69615,67
R-HSA-1362300,16
R-HSA-453279,139
R-HSA-141444,94
R-HSA-69017,56
R-HSA-176187,37
R-HSA-176814,64
R-HSA-179409,26
R-HSA-113501,13
R-HSA-68877,189
R-HSA-2555396,225
R-HSA-912446,57
R-HSA-68962,33
R-HSA-380270,81
R-HSA-2980766,58
R-HSA-9670095,47
R-HSA-2470946,10
R-HSA-69656,74
R-HSA-176974,12
R-HSA-174113,42
R-HSA-176417,6
R-HSA-141405,21
R-HSA-68881,2
R-HSA-180786,51
R-HSA-68911,5
R-HSA-774815,53
R-HSA-69481,139
R-HSA-69275,176
R-HSA-69166,14
R-HSA-2980767,7
R-HSA-174084,54
R-HSA-69613,51
R-HSA-174154,55
R-HSA-69601,51
R-HSA-171319,23
R-HSA-174178,61
R-HSA-174437,17
R-HSA-1362277,19
R-HSA-69205,28
R-HSA-141430,21
R-HSA-179419,61
R-HSA-349425,39
R-HSA-2565942,87
R-HSA-68875,118
R-HSA-171306,32
R-HSA-2467813,159
R-HSA-113507,9
R-HSA-2299718,44
R-HSA-174143,75
R-HSA-2995383,20
R-HSA-2500257,108
R-HSA-174430,13
R-HSA-157579,92
R-HSA-75815,39
R-HSA-69109,14
R-HSA-174414,19
R-HSA-9615933,28
R-HSA-69206,120
R-HSA-69273,32
R-HSA-113510,22
R-HSA-2465910,10
R-HSA-69560,4
R-HSA-1538133,27
R-HSA-69895,4
R-HSA-4419969,16
R-HSA-174184,60
R-HSA-141424,94
R-HSA-68884,13
R-HSA-9754119,5
R-HSA-69239,106
R-HSA-69278,528
R-HSA-69202,71
R-HSA-156711,16
R-HSA-69242,149
R-HSA-69052,77
R-HSA-8854050,42
R-HSA-69541,44
R-HSA-176409,63
R-HSA-174048,24
R-HSA-2995410,78
R-HSA-453276,75
R-HSA-380259,69
R-HSA-69186,20
R-HSA-68886,380
R-HSA-69231,47
R-HSA-69473,79
R-HSA-380287,81
R-HSA-380320,80
R-HSA-8852276,47
R-HSA-69190,32
