pathwayID,nbID
R-HSA-9769726,20
R-HSA-4791275,34
R-HSA-5619109,1
R-HSA-5688890,8
R-HSA-9669921,1
R-HSA-2206302,1
R-HSA-9735804,4
R-HSA-2894858,59
R-HSA-2160456,1
R-HSA-9616333,1
R-HSA-9671793,21
R-HSA-9823587,6
R-HSA-9682706,6
R-HSA-4549380,1
R-HSA-5655291,12
R-HSA-5467333,1
R-HSA-9694631,16
R-HSA-9616334,1
R-HSA-5423599,5
R-HSA-2644602,59
R-HSA-5619107,36
R-HSA-9727281,4
R-HSA-180746,38
R-HSA-5579020,1
R-HSA-4570571,1
R-HSA-5619108,1
R-HSA-9665348,17
R-HSA-9637698,1
R-HSA-4724325,1
R-HSA-5579021,1
R-HSA-9694786,4
R-HSA-9865125,3
R-HSA-5687583,1
R-HSA-6802948,35
R-HSA-5658034,4
R-HSA-9674428,1
R-HSA-5602410,1
R-HSA-9697154,13
R-HSA-3656237,14
R-HSA-9674404,1
R-HSA-2206307,1
R-HSA-5083627,2
R-HSA-9772572,46
R-HSA-3785653,9
R-HSA-6802949,45
R-HSA-9918440,1
R-HSA-9660821,44
R-HSA-9669926,1
R-HSA-5658471,1
R-HSA-5602566,2
R-HSA-9630750,3
R-HSA-9704646,25
R-HSA-2206305,1
R-HSA-9674403,1
R-HSA-9772573,83
R-HSA-9649913,3
R-HSA-5619081,1
R-HSA-9953080,1
R-HSA-9694635,66
R-HSA-5467337,14
R-HSA-9824439,281
R-HSA-5660724,1
R-HSA-1839120,2
R-HSA-9702577,1
R-HSA-6802946,45
R-HSA-9915355,1
R-HSA-9699150,2
R-HSA-2023837,2
R-HSA-5637815,20
R-HSA-9687139,36
R-HSA-9918443,1
R-HSA-5083629,3
R-HSA-9664565,29
R-HSA-5663084,34
R-HSA-5662853,1
R-HSA-9664323,128
R-HSA-9669924,1
R-HSA-9638630,8
R-HSA-9674401,1
R-HSA-3656234,1
R-HSA-9918442,2
R-HSA-9683701,34
R-HSA-5632987,2
R-HSA-5083628,2
R-HSA-9664433,167
R-HSA-9682708,3
R-HSA-9694548,42
R-HSA-9918485,45
R-HSA-5579027,1
R-HSA-9692912,2
R-HSA-9669929,1
R-HSA-3359457,1
R-HSA-3642279,2
R-HSA-5619084,65
R-HSA-9842640,7
R-HSA-9931953,15
R-HSA-9920588,33
R-HSA-169131,2
R-HSA-167172,72
R-HSA-164525,7
R-HSA-3304356,6
R-HSA-5602415,2
R-HSA-9956529,1
R-HSA-5619060,2
R-HSA-3642278,3
R-HSA-2660826,7
R-HSA-3560792,1
R-HSA-9703009,1
R-HSA-5579026,4
R-HSA-1839122,12
R-HSA-5579002,1
R-HSA-5579028,1
R-HSA-2644607,6
R-HSA-9692913,4
R-HSA-5619085,1
R-HSA-9630794,3
R-HSA-3229121,16
R-HSA-3781860,20
R-HSA-5619061,1
R-HSA-4839743,15
R-HSA-162589,7
R-HSA-9912481,5
R-HSA-2660825,7
R-HSA-174490,15
R-HSA-9927020,14
R-HSA-5579029,34
R-HSA-6791055,1
R-HSA-5579005,1
R-HSA-9692914,108
R-HSA-9918487,83
R-HSA-5083625,19
R-HSA-9828721,13
R-HSA-4839744,14
R-HSA-162588,36
R-HSA-1839124,33
R-HSA-9702596,1
R-HSA-5579004,1
R-HSA-9703465,20
R-HSA-4717374,3
R-HSA-5579006,1
R-HSA-3359454,1
R-HSA-3359478,2
R-HSA-4085023,1
R-HSA-9914355,1
R-HSA-9675143,13
R-HSA-5682294,1
R-HSA-5619083,1
R-HSA-162587,163
R-HSA-9692916,53
R-HSA-9918481,260
R-HSA-168288,9
R-HSA-3656253,14
R-HSA-9636383,18
R-HSA-167152,45
R-HSA-5619040,1
R-HSA-9630791,2
R-HSA-9658195,251
R-HSA-9630222,1
R-HSA-5619088,1
R-HSA-8942233,3
R-HSA-9637690,39
R-HSA-3781865,147
R-HSA-5655799,2
R-HSA-5579022,1
R-HSA-9694301,4
R-HSA-9702590,1
R-HSA-1839126,38
R-HSA-9694676,17
R-HSA-2644603,59
R-HSA-9671555,21
R-HSA-5619041,1
R-HSA-5619089,1
R-HSA-9630221,1
R-HSA-180897,4
R-HSA-9652817,7
R-HSA-162585,8
R-HSA-6809583,1
R-HSA-9709275,2
R-HSA-5602636,3
R-HSA-9956508,1
