pathwayID,nbID
R-HSA-5218859,62
R-HSA-109581,169
R-HSA-111448,5
R-HSA-5218900,12
R-HSA-3371378,11
R-HSA-111452,2
R-HSA-211736,2
R-HSA-111464,7
R-HSA-211728,2
R-HSA-111458,11
R-HSA-5675482,33
R-HSA-111446,3
R-HSA-5213460,35
R-HSA-140534,19
R-HSA-169911,40
R-HSA-139915,9
R-HSA-5357801,203
R-HSA-109606,55
R-HSA-9627069,11
R-HSA-140342,13
R-HSA-69416,11
R-HSA-75108,4
R-HSA-111459,6
R-HSA-5620971,27
R-HSA-211733,37
R-HSA-111463,7
R-HSA-111465,38
R-HSA-111453,9
R-HSA-352238,3
R-HSA-111469,8
R-HSA-418889,10
R-HSA-111447,15
R-HSA-111457,7
R-HSA-264870,12
R-HSA-139910,3
R-HSA-75153,52
R-HSA-5357769,29
R-HSA-111461,13
R-HSA-111471,20
R-HSA-114452,30
R-HSA-114294,2
R-HSA-351906,11
