pathwayID,entityID
R-HSA-9603798,P40855
R-HSA-9603798,P56589
R-HSA-9603798,Q9Y6I8
R-HSA-9603798,Q8NBU5
R-HSA-9603798,Q8TB36
R-HSA-9603798,Q9Y5Y5
R-HSA-9603798,Q9UBJ2
R-HSA-9603798,O75381
R-HSA-9603798,P28288
R-HSA-9603798,Q9NR77
R-HSA-9603798,Q7Z412
R-HSA-9603798,O43808
R-HSA-9603798,P33897
R-HSA-9603798,Q9Y3D6
R-HSA-9603798,Q92968
R-HSA-9603798,Q5T8D3
R-HSA-9603798,P28328
R-HSA-9603798,O96011
R-HSA-9603798,O00623
R-HSA-9609507,P40855
R-HSA-9609507,P56589
R-HSA-9609507,Q9Y6I8
R-HSA-9609507,Q8NBU5
R-HSA-9609507,Q8TB36
R-HSA-9609507,Q9Y5Y5
R-HSA-9609507,Q9UBJ2
R-HSA-9609507,O75381
R-HSA-9609507,P28288
R-HSA-9609507,Q9NR77
R-HSA-9609507,Q7Z412
R-HSA-9609507,O43808
R-HSA-9609507,P33897
R-HSA-9609507,Q9Y3D6
R-HSA-9609507,Q92968
R-HSA-9609507,Q5T8D3
R-HSA-9609507,P28328
R-HSA-9609507,O96011
R-HSA-9609507,O00623
R-HSA-9609507,O43681
R-HSA-9609507,P46379
R-HSA-9609507,P11441
R-HSA-9609507,Q7L5D6
R-HSA-9609507,P50402
R-HSA-9609507,Q16623
R-HSA-9609507,P63027
R-HSA-9609507,P09601
R-HSA-9609507,Q9P0L0
R-HSA-9609507,P60468
R-HSA-9609507,P60059
R-HSA-9609507,Q13190
R-HSA-9609507,Q9HC10
R-HSA-9609507,Q9Y6X1
R-HSA-9609507,O43765
R-HSA-9609507,P49069
R-HSA-9609507,O00258
R-HSA-9609507,P04156
R-HSA-9609507,P05067
R-HSA-9609507,Q93008
R-HSA-9609507,P0CG48
R-HSA-9609507,P62987
R-HSA-9609507,P62979
R-HSA-9609507,P0CG47
R-HSA-9609507,P51668
R-HSA-9609507,P62837
R-HSA-9609507,P61077
R-HSA-9609507,O00628
R-HSA-9609507,O60683
R-HSA-9609507,O14832
R-HSA-9609507,O00116
R-HSA-9609507,P09110
R-HSA-9609507,O43933
R-HSA-9609507,Q13608
R-HSA-9609507,Q6FIF0
R-HSA-9609507,Q9Y2Q3
R-HSA-9609507,P34913
R-HSA-9609507,O15228
R-HSA-9609507,Q9UJM8
R-HSA-9609507,Q6QHF9
R-HSA-9609507,Q2T9J0
R-HSA-9609507,P0C024
R-HSA-9609507,O75874
R-HSA-9609507,Q9UKG9
R-HSA-9609507,Q9BY49
R-HSA-9609507,Q9BTZ2
R-HSA-9609507,P35914
R-HSA-9609507,Q9NYQ3
R-HSA-9609507,Q9P0Z9
R-HSA-9609507,P22307
R-HSA-9609507,Q99489
R-HSA-9609507,O14975
R-HSA-9609507,Q13011
R-HSA-9609507,P21549
R-HSA-9609507,O15254
R-HSA-9609507,Q9UHK6
R-HSA-9609507,P14920
R-HSA-9609507,P51659
R-HSA-9609507,P35228
R-HSA-9609507,Q86WA8
R-HSA-9609507,Q8N9L9
R-HSA-9609507,P39210
R-HSA-9609507,P43155
R-HSA-9609507,A8MXV4
R-HSA-9609507,Q99424
R-HSA-9609507,Q9NUI1
R-HSA-9609507,Q9UJ83
R-HSA-9609507,O14734
R-HSA-9609507,Q14032
R-HSA-9609507,Q08426
R-HSA-9609507,Q15067
R-HSA-9609507,P49753
R-HSA-9609507,P04040
R-HSA-9609507,P14735
R-HSA-9609507,O14925
R-HSA-9609507,Q3ZCQ8
R-HSA-9609507,Q9Y3D7
R-HSA-9609507,O43615
R-HSA-9609507,Q9HAV7
R-HSA-9609507,Q8TAA5
R-HSA-9609507,P38646
R-HSA-9609507,Q96DA6
R-HSA-9609507,Q99595
R-HSA-9609507,O60830
R-HSA-9609507,Q9BVV7
R-HSA-9609507,P06576
R-HSA-9609507,P05496
R-HSA-9609507,O95169
R-HSA-9609507,Q96H96
R-HSA-9609507,Q86WU2
R-HSA-9609507,P56277
R-HSA-9609507,Q9Y5J9
R-HSA-9609507,Q9BSY4
R-HSA-9609507,Q9NX63
R-HSA-9609507,Q14061
R-HSA-9609507,Q9NYJ1
R-HSA-9609507,Q9BUK0
R-HSA-9609507,Q9Y5L4
R-HSA-9609507,Q9NRP2
R-HSA-9609507,Q5JTJ3
R-HSA-9609507,Q9Y6H1
