pathwayID,nbID
R-HSA-4655427,16
R-HSA-9937383,90
R-HSA-8931838,18
R-HSA-163125,93
R-HSA-4085377,39
R-HSA-156842,95
R-HSA-8957275,107
R-HSA-446203,291
R-HSA-9954716,97
R-HSA-72689,102
R-HSA-72613,120
R-HSA-8876725,17
R-HSA-162699,3
R-HSA-9837999,98
R-HSA-72649,59
R-HSA-379716,24
R-HSA-72706,113
R-HSA-975576,26
R-HSA-4570464,51
R-HSA-964827,3
R-HSA-422085,20
R-HSA-9907900,52
R-HSA-6814122,38
R-HSA-4085001,33
R-HSA-5368286,88
R-HSA-381771,21
R-HSA-8955332,42
R-HSA-5688426,266
R-HSA-480985,2
R-HSA-159782,10
R-HSA-975577,15
R-HSA-901042,26
R-HSA-5689877,12
R-HSA-159854,11
R-HSA-5676934,6
R-HSA-3232142,43
R-HSA-5368287,113
R-HSA-209822,10
R-HSA-3215018,10
R-HSA-977068,26
R-HSA-389957,28
R-HSA-204005,54
R-HSA-5689880,191
R-HSA-975574,1
R-HSA-913709,65
R-HSA-4755510,12
R-HSA-392499,2101
R-HSA-390466,92
R-HSA-3065676,5
R-HSA-204626,4
R-HSA-72662,60
R-HSA-2022377,17
R-HSA-5683826,30
R-HSA-389958,33
R-HSA-72731,8
R-HSA-8852135,79
R-HSA-9793242,3
R-HSA-901032,21
R-HSA-159763,9
R-HSA-390471,39
R-HSA-9948299,145
R-HSA-9857492,10
R-HSA-379724,42
R-HSA-8932506,4
R-HSA-3899300,44
R-HSA-2980736,87
R-HSA-8873719,65
R-HSA-446219,65
R-HSA-72766,370
R-HSA-400511,13
R-HSA-72702,59
R-HSA-3108232,175
R-HSA-3065679,6
R-HSA-6807878,81
R-HSA-446193,80
R-HSA-8866652,30
R-HSA-163841,61
R-HSA-446210,8
R-HSA-2990846,181
R-HSA-4551638,62
R-HSA-162791,7
R-HSA-400508,24
R-HSA-1799339,113
R-HSA-4090294,31
R-HSA-5419276,102
R-HSA-9954709,103
R-HSA-1663150,13
R-HSA-72737,120
R-HSA-5694530,33
R-HSA-3065678,7
R-HSA-8932505,6
R-HSA-156902,90
R-HSA-389960,26
R-HSA-975578,10
R-HSA-964739,5
R-HSA-5689603,82
R-HSA-9939291,12
R-HSA-446205,6
R-HSA-379726,21
R-HSA-72695,52
R-HSA-72764,94
R-HSA-3108214,81
R-HSA-389977,23
R-HSA-9954714,91
R-HSA-391251,98
R-HSA-532668,35
R-HSA-162710,18
R-HSA-5173105,127
R-HSA-5389840,88
R-HSA-5173214,39
R-HSA-199977,137
R-HSA-8932504,5
R-HSA-597592,1474
R-HSA-8951664,235
R-HSA-5689896,36
R-HSA-9629569,20
R-HSA-390450,10
R-HSA-5689901,31
R-HSA-381426,124
R-HSA-8866654,59
R-HSA-4615885,50
R-HSA-948021,168
R-HSA-446199,7
R-HSA-209952,12
R-HSA-6787639,6
R-HSA-3232118,20
R-HSA-977225,55
R-HSA-5358493,8
R-HSA-156827,112
R-HSA-159740,10
R-HSA-264876,25
