pathway,score
R-HSA-432722,1.1245508004664684
R-HSA-3000471,1.8727388274726688
R-HSA-2173782,0.7488871865055831
R-HSA-157858,1.6966475684169875
R-HSA-6807878,0.9536607350965949
R-HSA-190872,2.571708831808688
R-HSA-8856825,0.8515495284027307
R-HSA-5653656,0.009415967352212905
R-HSA-1445148,1.1651686513747324
R-HSA-432720,1.3045371034056739
R-HSA-6811438,1.2292861509864814
R-HSA-8854214,1.2195263136973251
R-HSA-199977,0.7360182603162619
R-HSA-190861,2.3956175727530065
R-HSA-6811436,1.3412599104304137
R-HSA-3000484,2.027640787458412
R-HSA-917729,1.3813771336383962
R-HSA-196025,1.9184963180333439
R-HSA-190873,1.8727388274726688
R-HSA-190704,2.3956175727530065
R-HSA-191650,2.2706788361447066
R-HSA-190827,2.3956175727530065
R-HSA-8876198,0.918496318033344
R-HSA-8856688,0.8008568201665434
R-HSA-3000480,1.5939852265198398
R-HSA-190840,2.8727388274726686
R-HSA-3000497,2.2706788361447066
R-HSA-6811442,0.6008972209361698
R-HSA-6811434,0.9484595414107871
R-HSA-6811440,1.1825427474441552
R-HSA-8856828,0.717402790007607
R-HSA-190828,1.793557581425044
R-HSA-199992,1.0035071077416926
R-HSA-2168880,0.8771036328751189
R-HSA-5694530,1.3542248875947813
R-HSA-9007101,0.7828337160332709
R-HSA-204005,1.0338897367354134
R-HSA-199991,0.09458757708902518
