pathway,score
R-HSA-110314,1.0198083933535524
R-HSA-6782135,0.6975890986196333
R-HSA-5693568,0.9528616037229393
R-HSA-73943,1.6518316080589581
R-HSA-73933,0.9058650410467157
R-HSA-110362,1.5938396610812713
R-HSA-73930,2.1958996524092336
R-HSA-110330,0.9171460514564048
R-HSA-5693565,0.7187783976895713
R-HSA-6782210,0.704537958574961
R-HSA-5693548,1.7187783976895714
R-HSA-5696397,1.0989896394011773
R-HSA-73929,0.8437171342978713
R-HSA-5358565,1.3508016123949769
R-HSA-5696400,0.8841457913534794
R-HSA-5693571,0.7893594719752786
R-HSA-5656121,1.266480726694941
R-HSA-5693554,1.0655658839142277
R-HSA-5693579,0.8634611924936284
R-HSA-5651801,1.1747103533392957
R-HSA-110373,1.0989896394011773
R-HSA-5358606,1.3508016123949769
R-HSA-110331,0.92872792400622
R-HSA-5655862,1.266480726694941
R-HSA-6783310,0.9171460514564048
R-HSA-5649702,1.6518316080589581
R-HSA-110320,1.218176047120386
R-HSA-5696399,0.5726503620113332
R-HSA-5656169,0.9917796697533089
R-HSA-73884,0.633606787952759
R-HSA-5657655,2.496929648073215
R-HSA-73928,0.8841457913534794
R-HSA-5693532,0.3122382172556161
R-HSA-5693567,0.42874378632705334
R-HSA-5685942,0.6580805573359596
R-HSA-110329,0.8841457913534794
R-HSA-5685938,0.9171460514564048
R-HSA-110328,0.8841457913534794
R-HSA-5685939,1.4177484020255902
R-HSA-5693537,0.9406271473059277
R-HSA-110312,1.29280966541729
R-HSA-5696398,0.4635058925862653
R-HSA-110381,1.8948696567452525
R-HSA-6781823,0.7893594719752786
R-HSA-112126,1.8948696567452525
R-HSA-5693606,0.7115998130624479
R-HSA-112122,2.496929648073215
R-HSA-5693538,0.407024536633817
R-HSA-73893,0.8156884106976278
R-HSA-73942,1.5938396610812713
R-HSA-73894,0.0
R-HSA-5693616,0.8948696567452525
R-HSA-5693607,0.5938396610812713
R-HSA-6781827,0.6161160557924236
R-HSA-5696394,0.9171460514564048
R-HSA-73927,0.9171460514564048
R-HSA-110313,0.9058650410467157
R-HSA-5696395,0.8634611924936284
R-HSA-5358508,1.3208383890175337
R-HSA-110357,1.4969296480732148
R-HSA-9636003,2.496929648073215
