pathway,score
R-HSA-2032785,1.983118637175554
R-HSA-9851695,1.1744013951263066
R-HSA-8866911,2.48826861549546
R-HSA-73854,1.2951440171409982
R-HSA-5578749,1.534026106056135
R-HSA-6807505,1.3180069001005026
R-HSA-8941332,2.232996110392154
R-HSA-8951911,2.8862086241674976
R-HSA-8939236,1.257819694117186
R-HSA-6804114,1.9319661147281726
R-HSA-8949275,2.409087369447835
R-HSA-9614085,1.36769468428961
R-HSA-2173795,1.7101173651118162
R-HSA-73772,1.4163866081893346
R-HSA-73980,1.8255107838138858
R-HSA-8866907,2.1080573737838537
R-HSA-8878159,1.252740168587911
R-HSA-3700989,0.628530049298313
R-HSA-5334118,1.6687246799535913
R-HSA-9022699,1.9319661147281726
R-HSA-8864260,1.6190368957644838
R-HSA-6804759,2.0411105841532406
R-HSA-8953750,1.6557597027892237
R-HSA-8951936,2.232996110392154
R-HSA-212300,1.5437859433452914
R-HSA-427359,1.6309361190641916
R-HSA-5250924,1.4163866081893346
R-HSA-9843970,1.5961740128049795
R-HSA-8986944,1.4019087848207117
R-HSA-9845323,1.36769468428961
R-HSA-6806003,1.6190368957644838
R-HSA-6803211,2.1080573737838537
R-HSA-73776,1.5059973824558914
R-HSA-6803205,2.0411105841532406
R-HSA-8869496,2.48826861549546
R-HSA-426496,2.342140579817222
R-HSA-73856,1.7101173651118162
R-HSA-211000,1.3007478946589968
R-HSA-8951671,2.284148632839535
R-HSA-8934593,1.9567896984532047
R-HSA-75944,2.5851786285035163
R-HSA-73863,1.695876925997206
R-HSA-73857,0.05980984197987979
R-HSA-212165,0.7263407770749308
R-HSA-8941326,1.6820886415115728
R-HSA-6804115,1.8650193250975595
R-HSA-9768919,1.8255107838138858
R-HSA-8939242,2.284148632839535
R-HSA-2173793,1.4796684437335423
R-HSA-8941333,2.48826861549546
R-HSA-74160,0.0005647523317335776
R-HSA-76046,1.6309361190641916
R-HSA-9843940,1.3064250275506875
R-HSA-203927,1.8070273781198727
R-HSA-9617629,2.187238619831479
R-HSA-76066,1.7558748556724915
R-HSA-9614657,1.983118637175554
R-HSA-9917777,1.0569048513364727
R-HSA-75955,1.4238106262685415
R-HSA-6811555,2.232996110392154
R-HSA-6804756,1.2187556712775436
R-HSA-77075,1.7558748556724915
R-HSA-5628897,1.257819694117186
R-HSA-8931987,2.409087369447835
R-HSA-350054,1.7400805884892594
R-HSA-5221030,2.5851786285035163
R-HSA-427389,1.5437859433452914
R-HSA-8877330,2.187238619831479
R-HSA-8866906,2.5851786285035163
R-HSA-8878171,0.901681310823705
R-HSA-8936459,1.3810586458475915
R-HSA-674695,1.2734247674477621
R-HSA-9772755,1.5639893294335783
R-HSA-8941858,1.534026106056135
R-HSA-426486,2.232996110392154
R-HSA-8878166,1.157854842146269
R-HSA-8940973,1.789298611159441
R-HSA-6791312,1.497042539802965
R-HSA-163316,3.187238619831479
R-HSA-8866910,2.073295267524642
R-HSA-6804758,1.7101173651118162
R-HSA-6804757,1.6309361190641916
R-HSA-212436,0.08824898043030141
R-HSA-2173796,1.6309361190641916
R-HSA-8941855,2.342140579817222
R-HSA-9818564,1.1744013951263066
R-HSA-8941284,2.409087369447835
R-HSA-5601884,1.7248406219325227
R-HSA-6804754,2.8862086241674976
R-HSA-73864,1.2896115285410372
R-HSA-9614399,2.1080573737838537
R-HSA-9022702,2.232996110392154
R-HSA-8939902,1.4090873694478352
R-HSA-76061,1.7400805884892594
R-HSA-113418,1.6687246799535913
R-HSA-9634815,1.6431705754812032
R-HSA-76071,1.7400805884892594
R-HSA-9617828,1.9567896984532047
R-HSA-6803204,1.8862086241674976
R-HSA-8941856,2.0411105841532406
R-HSA-6796648,1.394846930333225
R-HSA-5633008,1.5437859433452914
R-HSA-427413,1.3180069001005026
R-HSA-112382,1.4238106262685415
R-HSA-9615017,1.7101173651118162
R-HSA-8939243,1.6190368957644838
R-HSA-73779,1.5059973824558914
R-HSA-9768759,2.073295267524642
R-HSA-8952158,2.48826861549546
R-HSA-9841922,1.1744013951263066
R-HSA-74158,1.5744547631117431
R-HSA-8939256,2.409087369447835
R-HSA-73728,1.695876925997206
R-HSA-8951430,2.284148632839535
R-HSA-6804116,2.0411105841532406
R-HSA-8939247,2.48826861549546
R-HSA-8939245,2.409087369447835
R-HSA-76042,1.5059973824558914
R-HSA-5250913,1.3180069001005026
R-HSA-749476,1.5744547631117431
R-HSA-8935964,2.48826861549546
R-HSA-9768777,2.5851786285035163
R-HSA-73762,1.5151407618957613
R-HSA-6804760,1.9084850188786497
R-HSA-9022692,1.6820886415115728
R-HSA-8939246,2.284148632839535
R-HSA-8866904,2.145845934673254
R-HSA-163282,2.7101173651118162
R-HSA-9768778,2.232996110392154
R-HSA-5633007,0.9804127437996291
R-HSA-6803207,2.1080573737838537
R-HSA-5250941,1.3007478946589968
R-HSA-75953,1.5059973824558914
R-HSA-383280,1.252740168587911
R-HSA-73780,1.9319661147281726
R-HSA-8853884,1.5961740128049795
R-HSA-9842860,1.1419156410448212
R-HSA-9022707,2.409087369447835
R-HSA-9022927,2.5851786285035163
R-HSA-9708296,2.7101173651118162
